Russian,English
я,I
не,not
что,what
в,in
и,and
ты,you
это,this is
на,on
с,With
он,he
мы,we
как,How
вы,you
да,Yes
мне,to me
у,u
нет,No
меня,me
так,So
но,but
а,a
его,his
все,Everybody
она,she
тебя,you
о,about
если,if
бы,would
тебе,you
за,per
они,they
чтобы,to
же,the same
просто,simply
есть,eat
из,from
ну,well
к,to
для,for
хорошо,Good
когда,when
здесь,here
по,on
был,was
знаю,I know
то,then
только,only
было,was
может,maybe
вас,you
всё,everything
нас,us
от,from
вот,here
быть,to be
будет,will be
кто,who
почему,why
вам,to you
очень,very
могу,can
их,them
еще,more
уже,already
или,or
спасибо,Thank you
нам,us
там,there
чем,how
хочу,want
сейчас,now
где,where
нужно,need to
этого,this
ничего,nothing
ее,her
была,was
мой,my
знаешь,you know
ладно,OK
этом,this
до,before
потому,because
теперь,now
думаю,think
больше,more
п,P
со,CO
раз,once
её,her
время,time
ему,to him
надо,necessary
этот,this
ли,Lee
привет,Hey
даже,even
пока,bye
сказал,said
себя,myself
должен,should
хочешь,want
давай,let's
эй,hey
ещё,more
того,Togo
никогда,never
тоже,too
тогда,then
него,him
были,were
конечно,certainly
ни,Neither
об,about
правда,truth
тут,here
моя,my
пожалуйста,please
сказать,to tell
тобой,you
сегодня,today
один,one
можешь,can
лучше,better
сюда,here
мной,me
сделать,do
значит,means
всегда,always
ей,her
порядке,order
дело,case
должны,must
том,volume
можно,can
без,without
день,day
буду,I will
делать,do
хотел,I wanted to
эти,these
много,many
этим,This
после,after
чего,what
всего,Total
твой,your
во,in
ним,him
лет,years old
боже,God
них,them
мистер,Mr
жизнь,life
ней,her
ведь,after all
такой,such
потом,after
который,which
немного,Little
возможно,Maybe
через,through
сэр,sir
всех,All
слишком,too much
себе,yourself
им,them
такое,Such
должна,must
моей,mine
знаете,You know
думаешь,You think
этой,this
люди,people
зачем,why
свою,my
твоя,yours
сказала,said
человек,human
назад,back
эту,This
под,under
точно,Exactly
можем,Can
отец,father
мама,Mama
случилось,It happened
мог,Could
вместе,together
сделал,done
кажется,seems
мои,my
друг,friend
никто,nobody
куда,where
эта,this
которые,which
два,two
тот,that
жизни,Life
сколько,how many
нравится,Like
поэтому,so
понимаю,Understand
снова,again
парень,guy
люблю,I love
видел,saw
людей,people
помочь,help
хочет,wants
похоже,Seems like
место,place
знать,know
отлично,Great
домой,home
всем,Everyone
деньги,money
иди,Go
прости,sorry
доктор,doctor
думал,thought
времени,time
дома,at home
делаешь,You do
именно,exactly
говорил,spoke
слушай,listen
прямо,straight
поговорить,talk
будем,We will
своей,his
найти,find
стоит,costs
разве,Is it
тем,those
хотела,I wanted to
ага,Yeah
можете,You can
лишь,only
деле,business
будешь,You will
простите,sorry
сам,myself
три,three
знал,He knew
хотите,want to
говорить,speak
действительно,really
скажи,tell
совсем,at all
знает,He knows
давайте,let's
прошу,I beg
моего,mine
дом,house
должно,must
несколько,some
какой,which
свои,their
вами,you
дела,affairs
говорит,He speaks
черт,heck
жаль,sorry
происходит,is happening
папа,dad
ваш,your
туда,there
про,pro
завтра,tomorrow
оно,it
уверен,sure
самом,myself
одна,one
тех,those
перед,front
отсюда,From here
наш,our
нее,her
свой,mine
нужна,Need
мою,mine
нужен,Need
каждый,every
кого,whom
работу,work
верно,right
твоей,yours
ж,and
будут,will be
итак,so
имя,name
понял,understood
пор,por
уж,Oh
надеюсь,hope
против,vs
хватит,enough
пошли,went
более,more
говорю,I say
раньше,earlier
наверное,maybe
ребята,guys
твои,yours
ваша,Your
дай,give
при,at
могли,Could
нами,us
вообще,generally
всю,All
мать,mother
понимаешь,understand
ко,ko
идти,go
этих,These
извините,Sorry
чём,how
ради,for the sake
нельзя,it is forbidden
такая,Such
хотя,although
другой,another
виду,sight
вижу,I see
откуда,where
мисс,Miss
видеть,see
послушай,Listen
над,above
могут,can
думала,I thought
будто,Like
равно,equals
между,between
зовут,The name is
подожди,wait
скоро,soon
этому,this
возьми,Take it
наши,our
извини,Sorry
своего,your own
ясно,clear
человека,man
вопрос,question
года,of the year
вещи,things
минут,minutes
руки,hands
которая,which
почти,almost
смотри,look
такие,such
могла,Could
нормально,fine
достаточно,enough
видишь,You see
работа,Job
пару,pair
ночь,night
дня,Day
господи,God
говоришь,You say
весь,All
быстро,quickly
жить,live
сын,a son
хоть,though
твою,Yours
ваше,yours
посмотри,look
скажу,I will say
убить,Kill
слышал,I heard
пора,It's time
готов,ready
собой,yourself
имею,I have
первый,the first
неё,Her
самое,Most
видела,I saw
какая,which
смогу,I can
сказали,They said
плохо,bad
миссис,Mrs.
рад,glad
месте,place
никаких,No
насчет,about
иногда,sometimes
прав,right
нашли,Found
отца,Father
ваши,Yours
детей,children
пусть,let
мое,my
своих,their own
знаем,We know
вроде,like
которую,which
пойду,I'll go
сделала,I did it
смерти,of death
таким,So
знала,I knew
произошло,occurred
говорила,She said
собираюсь,going to
рядом,nearby
случае,case
одного,one
правильно,right
увидеть,see
кем,by whom
мир,peace
брат,brother
пойти,Go
такого,Such
помощь,help
вчера,yesterday
делает,does
говорят,they say
одно,One
кроме,Besides
нашей,ours
здорово,great
дверь,Door
друга,friend
женщина,woman
убил,Killed
будь,Be
долго,for a long time
важно,important
номер,room
денег,money
хороший,good
вечером,in the evening
одну,One
проблемы,Problems
вашей,yours
работать,work
твоего,yours
ночи,nights
проблема,problem
сама,herself
уверена,sure
нужны,Need
серьезно,Seriously
машину,car
также,same
тому,that
последний,last
пять,five
вернуться,return
дальше,farther
моих,mine
узнать,to know
права,the rights
своим,his own
ночью,at night
дети,children
те,those
чувствую,feel
работает,working
давно,for a long time
моим,mine
чувак,dude
чёрт,heck
две,Two
жена,wife
придется,have to
опять,again
дорогая,expensive
одной,One
думаете,Think
помнишь,Remember
сначала,first
глаза,eyes
утром,in the morning
ох,oh
прекрасно,wonderful
взять,take
парня,guy
идея,idea
часть,part
ними,them
большой,large
сделали,done
видели,saw
сразу,straightaway
слова,words
помню,I remember
утро,morning
сердце,heart
стать,become
момент,moment
часов,hours
скорее,quicker
наша,our
стал,became
смысле,Meaning
друзья,friends
сильно,strongly
уйти,Leave
говори,Speak
ах,Oh
имеет,It has
год,year
которой,which
здравствуйте,hello
которого,whom
работы,work
пойдем,let's go to
боюсь,afraid
любовь,love
девушка,young woman
голову,head
той,that
вечер,evening
дочь,daughter
довольно,enough
твое,your
нашел,found
парни,Guys
дней,days
понятно,It's clear
доме,house
новый,new
оба,both
хорошая,Good
прежде,Before
затем,then
бог,the God
увидимся,See you later
поверить,Believe
дать,to give
шанс,chance
пришел,Came
сделаю,I will do it
понять,understand
рассказать,tell
стой,Stop
какого,what
столько,so many
обо,about
та,that
быстрее,faster
интересно,interesting
вашего,your his
никого,No one
самый,most
милая,darling
ой,oh
умер,died
получить,receive
слово,word
будете,You will
однажды,once
обычно,usually
полагаю,I suppose
свое,Own
странно,strange
капитан,captain
посмотреть,look
вон,There
какие,what kind
чтоб,so
сможешь,You can
ума,mind
выглядит,Looks
подумал,Thought
наших,ours
приятно,nice
алло,Hello
обратно,back
хотели,They wanted
иначе,otherwise
тело,body
говорите,Speak
другие,other
час,hour
доброе,Kind
лицо,face
другом,friend
нашего,ours
мире,world
делал,did
мам,Mom
посмотрим,let's see
любит,loves
джон,John
пытался,had tried
пути,ways
насколько,How much
пришли,They came
честь,honour
получил,received
типа,type
места,Places
поздно,late
внимание,Attention
скажешь,Say
правду,Truth
следующий,next
моё,my
план,plan
кому,to whom
нем,him
телефон,telephone
кстати,by the way
хотят,They want
город,town
i,I
говорили,They said
думать,think
работе,work
решил,I decided
дорогой,expensive
безопасности,security
рада,glad
которое,which
позже,later
a,a
господин,Mr.
вся,all
некоторые,some
остаться,stay
пришла,Came
других,others
сестра,sister
кровь,blood
кофе,coffee
семья,family
спать,sleep
дал,gave
the,The
вперед,forward
понимаете,You see
совершенно,Absolutely
ребенка,child
ужасно,terrible
идет,It goes
вернулся,He returned
делаю,I do
конец,the end
единственный,the only one
которых,which
пришлось,I had to
хуже,worse
четыре,four
ждать,wait
оружие,weapon
большое,Big
часа,hours
полиция,police
сможем,We can
смотреть,watch
вернусь,I'll be back
машина,the machine
способ,way
муж,husband
играть,play
стороны,Parties
верю,I believe
звучит,Sounds
ребенок,child
мере,Meres
готовы,ready
угодно,Most
таких,Such
честно,honestly
взял,I took it
you,You
руку,hand
начала,Beginning
пытаюсь,Trying
смог,smog
приятель,buddy
какое,which
нашла,Found
скажите,tell
добрый,kind
подождите,Wait
вокруг,around
мальчик,boy
сына,son
внутри,inside
году,year
двух,Two
сами,themselves
вашу,yours
перевод,translation
знали,They knew
слышала,I heard
делаете,Do
отношения,relationship
неделю,A week
станет,will become
мужчина,man
далеко,long away
осталось,left
долларов,dollars
новости,news
никому,Nobody
ту,that
около,about
двое,two
собираешься,You are going
дайте,give
крови,blood
сможет,will be able
хотим,We want
дерьмо,shit
идем,Let's go
поняла,understood
минуту,A minute
сих,These
путь,way
видите,See
готова,Ready
женщины,women
джек,Jack
твоих,yours
следует,should
твоим,yours
вернуть,return
смерть,death
вина,guilt
машины,cars
мило,nicely
леди,lady
неужели,Really
заткнись,shut up
решение,decision
например,for example
начать,to begin
семьи,families
конце,end
джо,Joe
история,history
трудно,hard
смотрите,Look
спросить,ask
проблем,problems
любишь,Love
чарли,Charlie
пошел,Go
месяцев,months
сэм,Sam
шоу,show
пап,dad
комнате,room
вдруг,all of a sudden
нашу,ours
второй,second
прошлой,past
лучший,best
прощения,Forgiveness
круто,cool
милый,cute
б,b
постоянно,constantly
оставить,leave
больно,painfully
знают,Know
послушайте,Listen
школе,school
говоря,speaking
забыл,forgot
матери,Mother
полиции,police
полностью,fully
иметь,have
поможет,will help
добро,good
образом,way
иду,I'm going
рождения,birth
крайней,extreme
нему,him
часто,often
никакого,No
случай,happening
неплохо,not bad
посмотрите,Look
детка,baby
машине,car
слушайте,Listen
спасти,to rescue
сделаем,Let's do it
узнал,I learned
использовать,use
прекрати,Stop
убийство,murder
шесть,six
девочка,girl
господа,Gentlemen
чуть,A little
выглядишь,are looking
невозможно,impossible
пол,floor
агент,agent
другого,another
думает,Thinking
свет,light
держи,Hold it
наше,our
недели,weeks
погоди,wait a minute
ненавижу,I hate
настолько,so
другое,Other
убили,Killed
маленький,little
меньше,smaller
имеешь,You have
эм,Em
легко,easy
обещаю,I promise
имени,name
очевидно,obviously
людям,people
последние,The latter
школу,School
мадам,Madame
друзей,friends
последнее,last thing
понятия,concepts
своими,your own
либо,or
родители,parents
сообщение,message
помогите,Help
показать,show
вместо,instead of
особенно,especially
моем,mine
спокойной,calm
всей,All
свидания,Dates
самого,himself
сделай,Do It
большая,Big
поехали,go
ответ,answer
городе,city
минутку,Minute
мало,few
делай,Do
забрать,take
стало,It became
пожаловать,Hard
серьёзно,Seriously
детектив,detective
истории,stories
прошло,passed
убийца,assassin
окей,OK
купить,buy
вопросы,questions
возможность,possibility
ваших,yours
означает,means
делают,do
ужин,dinner
любви,love
замечательно,great
идите,Go
клянусь,I swear
абсолютно,absolutely
выйти,log off
секунду,give me a sec
человеком,man
чему,what
немедленно,immediately
смешно,funny
позвонить,Call
наконец,finally
обязательно,necessarily
остановить,stop
насчёт,about
ввиду,In view of
бывает,it happens
любой,any
мужик,man
забудь,forget
твоё,your
мэм,ma'am
переводчики,Translators
любом,Anyone
придётся,have to
волнуйся,worry
выбор,choice
ноги,legs
представить,introduce
стала,I became
поводу,reason
оставь,Leave
майкл,Michael
всему,Everything
хорошие,good
города,cities
тысяч,thousands
настоящий,real
своё,your own
выпить,drink up
боль,pain
известно,It is known
перестань,stop doing that
малыш,baby
оставил,left
вещь,thing
которым,which
работаю,working
увидел,saw
потерял,lost
хотелось,I wanted to
подумала,I thought
повезло,Lucky
умерла,Died
неделе,week
пистолет,gun
таком,So
воды,water
прошлом,past
дам,I will give
начал,began
босс,boss
счет,check
отцом,Father
поговорим,Let's talk
связи,connections
десять,ten
встретиться,Meet
генри,Henry
тихо,quiet
фильм,movie
убийства,murders
умереть,die
э,e
держать,Keep
искать,search
подумать,Think
причина,cause
принять,to accept
слышишь,You hear
комнату,room
рано,early
историю,History
речь,speech
работал,have worked
s,S.
удачи,good luck
сложно,difficult
самая,The most
бога,God
ух,wow
еду,I'm going
вести,news
спокойно,calmly
подарок,gift
позволить,allow
право,right
намного,much
конца,end
моему,mine
вероятно,probably
успокойся,calm down
рассказал,told
предложение,offer
одним,one
улице,street
питер,Peter
брата,brother
ы,s
мира,Mira
женщин,women
словно,Like
получится,It will turn out
тяжело,hard
доктора,the doctors
пойдём,let's go to
компании,Company
чувствуешь,You feel
другим,others
игра,a game
познакомиться,познакомиться
вниз,way down
провести,spend
возьму,I'll take it
проверить,verify
случится,will happen
уходи,leave
позволь,please let
позвольте,Let me
месяц,month
игры,games
мистера,Mr.
помоги,Help
неважно,never mind
среди,among
людьми,people
стороне,side
курсе,Course
мужа,husband
to,to
месяца,months
идёт,It goes
получилось,happened
свидание,date
уверены,sure
сторону,side
майк,Mike
джордж,George
голос,voice
ок,OK
президент,the president
пошла,I went
слышали,heard
вид,view
блин,pancake
никакой,no
гораздо,much
нечего,there is nothing
парнем,guy
корабль,ship
объяснить,explain
сидеть,sit
собирался,I was going
письмо,letter
весело,fun
утра,morning
имел,had
вашим,Yours
поверь,Believe me
находится,is
согласен,agree
список,list
котором,which
отличная,Excellent
чувство,feeling
такую,Such
пришёл,Came
девушки,Girls
своем,your own
связь,connection
руках,hands
сынок,son
девочки,girls
встречи,Meetings
фбр,FBI
понадобится,You will need it
заниматься,study
решили,decided
ушла,Left
прийти,Come
ушел,gone
семью,family
найду,I will find
остальные,rest
чувства,feelings
полицию,Police
молодец,well done
является,is
решила,I decided
старый,old
фрэнк,Frank
волосы,hair
считаю,I think
каким,What
расскажи,tell
нём,him
школы,schools
хм,hm
части,parts
впервые,first
собирается,Gathering
ъ,b
оттуда,From there
хочется,I want to
первым,First
могло,Could
эми,Amy
дядя,uncle
стали,steel
пара,pair
пройти,pass the
богу,God
становится,It becomes
ехать,drive
недель,weeks
ме,me
наверняка,Surely
никуда,Nowhere
голове,head
благодарю,thank you
черта,Damn
брось,Throw
макс,Max
пыталась,I tried
глаз,eye
другу,friend
сара,Sarah
многие,many
гарри,Harry
нашёл,found
вопросов,questions
невероятно,Incredible
тела,bodies
называется,called
существует,exist
маленькая,petite
позвоню,I'll call
всеми,All
нашим,ours
приехал,I arrived
вполне,quite
вернулась,Returned
своему,to your own
помощи,help
одном,One
замуж,Marry
идиот,idiot
идём,Let's go
пытается,Trying
джейн,Jane
недавно,recently
слава,glory
мужчины,men
семь,seven
жив,alive
придет,will come
команда,command
месье,Monsieur
друзьями,friends
делаем,We do
первая,First
вашем,yours
дэнни,Danny
навсегда,forever
слышу,I hear
фото,a photo
общем,general
земле,Earth
новая,New
начали,Started
удалось,managed
понравится,I like it
помните,Remember
главное,main
единственная,The only one
звонил,Called
новые,New
будущее,future
огонь,the fire
защитить,protect
самой,yourself
услышать,hear
стоило,It was worth it
любил,I loved
никак,no way
купил,bought
попробовать,Try
близко,close
делу,business
страшно,fearfully
менее,less
хорошее,Good
жену,wife
делала,I did it
семье,family
алекс,Alex
делали,did
заставить,Make it
смысл,meaning
тюрьме,prison
получается,it turns out
ключ,key
благодаря,thanks to
живет,Lives
подальше,away
получила,received
звонок,Call
секс,sex
неправильно,not right
очередь,turn
необходимо,necessary
мертв,dead
пить,drink
дамы,Ladies
секунд,seconds
верить,believe
мэри,Mary
девушку,girl
сон,dream
получили,received
преступления,crimes
платье,dress
силы,strength
двери,Doors
твоем,yours
хорошего,Good
рот,mouth
сделает,will do it
ник,Nick
слышать,hear
оставаться,stay
игру,game
касается,concerns
состоянии,condition
похож,Similar
жду,I am waiting
стоять,to stand
поздравляю,Congratulations
сожалею,regret
землю,Earth
взяли,have taken
разговор,talk
парней,guys
первой,First
суд,court
держись,Hold on
шеф,chef
сможете,You can
сделаешь,You will do it
нового,New
минуты,minutes
оу,OU
ходить,walk
блядь,Fuck
другую,Another
каждого,Everyone
попасть,To get
вперёд,forward
думали,Thought
лично,personally
хватает,Enough
стоп,stop
женой,wife
этими,These
нашем,ours
новую,New
забыла,Forgot
мысли,thoughts
изменить,change
вечеринку,Party
женщину,Woman
однако,but
видимо,Apparently
течение,flow
осторожно,carefully
покое,Sour
нравятся,I like it
бен,Ben
маме,Mom
дали,Dali
джимми,Jimmy
поехать,Go
помощью,help
выше,higher
случайно,by chance
раза,times
задницу,ass
пришло,It came
разумеется,Of course
вещей,of things
ха,Ha
первое,first
отличный,great
вовсе,At all
дэвид,David
лучшее,the best
войны,War
выход,output
смогла,I was able
концов,The ends
садись,Sit down
цель,goal
подруга,friend
плевать,spit
наверно,probably
просил,I asked
забыть,forget
годы,years
дочери,Daughters
красивая,beautiful
офис,office
выяснить,to find out
продолжай,continue
миллионов,millions
единственное,the only thing
счастлив,happy
целый,whole
король,king
адвокат,advocate
нечто,something
ждет,Waiting
убью,I will kill
правила,regulations
дороги,Roads
увидишь,You will see
дала,Dal
занят,busy
народ,people
дни,Days
разница,difference
сожалению,Unfortunately
вау,wow
расскажу,I'll tell you
обоих,both
попробуй,try
найдем,Find
сезон,season
жизнью,life
оставьте,Leave
новое,new
записи,Records
слов,words
it,it
обед,dinner
джеймс,James
адрес,the address
совет,advice
попросил,I asked
подождать,wait
ого,wow
глупо,Stupid
написал,wrote
информацию,information
удар,hit
момента,moment
покажу,I'll show you
ищу,looking for
будьте,Be
пошёл,I went
поскольку,because the
думают,Think
вышел,came out
голова,head
заняться,do
выбора,choice
лица,Faces
свете,light
книгу,book
кино,movie
жены,wives
тюрьму,prison
убивать,kill
останется,will remain
узнала,I learned
доверять,trust
открыть,open
виноват,To blame
узнает,Learn
какую,what
and,and
взяла,I took it
стану,I will become
мамой,Mom
х,X
весьма,Very
большие,Big
восемь,eight
примерно,approximately
покажи,Show me
магазин,shop
дел,cases
сексом,sex
вечера,Evenings
понравилось,liked
снаружи,outside
многое,much
бизнес,business
встреча,meeting
уехать,Leave
чувствовать,feel
договорились,agreed
родителей,parents
смотрю,look
плохой,bad
земли,Earth
рассказала,told
ребёнка,child
считает,He thinks
тони,Tony
мамы,Mom
маму,Mom
выходит,It turns out
слушать,listen
заметил,Noticed
позвонил,I called
сержант,sergeant
большинство,majority
ребёнок,child
книги,Books
врн,VRN
здравствуй,hello
фотографии,Photo
внимания,attention
жертвы,victims
помогу,I will help
попал,I got it
офицер,an officer
встречу,Meeting
двигаться,move
поняли,understood
продолжать,continue
захочешь,If you want
стойте,Stand
вода,water
ёто,Eto
забавно,Funny
сильнее,stronger
идут,Go
отпусти,Let go
шаг,step
хорош,good
подумай,Think
выйдет,It will come out
сюрприз,surprise
дорогу,The road
мысль,thought
скажет,Say
правы,right
любить,be in love
считаешь,You think
твоему,Your
планы,Plans
вечно,forever
вечеринка,a party
дороге,road
каждую,Each
ближе,nearer
больницу,hospital
видео,video
профессор,Professor
больнице,hospital
собираемся,re going
мен,Men
веришь,Believe
побери,Shoot
смогли,They were able
ребят,guys
вернется,will return
полный,full
лейтенант,lieutenant
внизу,at the bottom
документы,the documents
скажем,Let's say
часы,clock
узнали,learned
качестве,quality
поле,field
головы,heads
подходит,fits
t,t
написано,Written
доказать,prove
остался,remained
музыка,music
делом,business
беги,Run
война,war
времена,time
ошибка,error
готово,ready
вставай,Get up
ничто,nothing
ключи,Keys
разговаривать,speak
шутишь,You are joking
следующей,next
видно,it is seen
бабушка,Granny
энди,Andy
вышло,It turned out
мнение,opinion
любят,Love
попросить,Ask
каком,which one
открой,Open
кольцо,ring
сомневаюсь,I doubt
мм,mm
воду,water
бросил,He threw it
вышла,I went out
отдай,Give it
эмили,Emily
живу,I live
ричард,Richard
ранее,previously
рэй,Ray
определенно,definitely
позвони,Call
постой,Wait
приехали,Arrived
начнем,Let's start
кейт,Kate
днем,during the day
имеете,You have
другая,Another
детьми,children
ч,h
кончено,Once
играет,Playing
закончить,finish
несмотря,despite
трубку,pipe
группа,group
пожалуй,perhaps
команды,teams
сердца,hearts
кларк,Clark
главный,main
стране,country
комната,room
хорошим,Good
отдать,Give
вряд,unlikely
такси,Taxi
ухожу,I'm leaving
порядок,order
роль,role
вверх,up
сил,strength
мужчин,men
отцу,Father
самые,The most
легче,easier
наверху,upstairs
секрет,secret
счастлива,Happy
новой,New
настоящая,Real
получше,Better
телефону,telephone
рш,RSh
старик,old man
язык,language
врач,doctor
встретимся,Meet me
шутка,joke
разобраться,understand
пойдет,will go
недостаточно,Not enough
ј,ј
удовольствием,pleasure
прекрасный,beautiful
снять,take off
джонни,Johnny
спросил,asked
большую,Big
одному,One
днк,DNA
говорим,We say
получишь,Get it
едем,We are going
одни,One
молодой,young
o,O
группы,groups
приходится,It is necessary
опасности,Dangers
женщиной,woman
самых,Most
уходить,leave
бобби,Bobby
сто,one hundred
волнует,excites
член,member
каких,what
бросить,Throw
билли,Billy
де,de
принести,bring
первого,First
марк,Mark
кое,some
чертовски,Damn
ублюдок,bastard
работаешь,You work
встречаться,meet
взглянуть,Take a look
боб,bean
такими,Such
квартиру,apartment
позволю,Let me
закон,law
помогает,Helps
сша,USA
спас,saved
закончится,It will end
внутрь,inside
сигнал,signal
мозг,brain
опасно,dangerous
великолепно,fabulous
едва,barely
учитывая,Considering
госпожа,Madam
господь,Lord
убила,Killed
читать,to read
сукин,Sukin
джим,Jim
томми,Tommy
ма,ma
закончили,Finished
помог,Helped
спустя,After
ответить,answer
джей,Jay
потрясающе,Amazing
стол,table
войти,to come in
потеряла,Lost
везде,everywhere
избавиться,Get rid
писать,write
серия,series
компания,company
that,that
убирайся,Get out
лили,Lily
ложь,Lying
настоящее,the present
закончил,finished
костюм,suit
информация,information
шон,Sean
смотрел,watched
всём,Everything
солнце,sun
начинается,It begins
убедиться,make sure
лучшая,The best
передать,transfer to
факт,fact
баксов,bucks
увидела,I saw
тысячи,thousands
память,memory
потеряли,Lost
устал,tired
боишься,Afraid
окно,window
полно,Full
рук,hands
украл,stole
операции,operations
девушкой,girl
бежать,run
двоих,Two
ƒа,ƒa
казалось,It seemed
моём,mine
следы,traces
класс,Class
показания,Indications
придурок,jerk
море,sea
величество,Majesty
возможности,opportunities
держите,Keep
эдди,Eddie
идешь,You go
приказ,order
штука,thing
жертва,victim
оставила,Left
расслабься,Relax
скажете,Say
обещал,He promised
другими,others
самым,Most
билл,Bill
вернулись,Returned
ошибку,error
принимать,take
запах,smell
дон,Don
жил,lived
света,Sveta
достать,Get out
платить,to pay
страны,country
уничтожить,Destroy
предложить,suggest
приходит,Comes
рождество,Christmas
убийстве,murder
собираетесь,Getting to
обожаю,adore
зависит,depends
ждал,Waited
небольшой,small
начало,Start
одежду,clothes
сделку,deal
офисе,office
данные,data
яйца,eggs
найди,Find
знак,sign
клуб,club
c,C.
беспокойся,Bring
ситуации,situations
новость,news
забрал,took away
вовремя,in time
вне,outside
судя,Judging
собака,dog
ситуация,situation
слегка,slightly
появился,appeared
наверх,upstairs
согласно,according to
эрик,Eric
энни,Annie
обсудить,Discuss
чисто,purely
любила,Love
принадлежит,belongs
искал,Searched
красиво,Beautiful
пытались,Tried
причины,causes
песню,song
книга,book
док,dock
директор,director
вашему,Yours
райан,Ryan
джерри,Jerry
ребенком,child
of,of
наркотики,Drugs
анна,Anna
думай,Think
сука,bitch
добраться,get to
зато,but
уровень,level
учитель,teacher
помогать,to help
зайти,Come in
нос,nose
собиралась,Gathered
дважды,twice
генерал,General
работала,worked
ждут,are waiting
лучшие,The best
тише,quiet
сделано,made
выходные,weekend
желание,a wish
доказательства,proof
плохая,Bad
старые,Old
души,Souls
куча,A bunch
использовал,Used
бери,Take it
доступ,access
матерью,mother
туалет,toilet
многих,many
состояние,condition
срочно,urgently
