Russian,English
пытаешься,Trying
представляешь,Imagine
выглядеть,to look like
повсюду,everywhere
неправда,not true
неприятности,troubles
взгляд,sight
беременна,Pregnant
брак,marriage
практически,practically
дружище,buddy
песня,song
потерять,lose
знакомы,Familiarized
ммм,mmm
оказался,It turned out
разные,different
исправить,to correct
приехала,I arrived
увижу,I will see
узнаю,I find out
чай,tea
силу,strength
радио,radio
нож,knife
частью,part
расследование,investigation
супер,super
возьмите,Take it
спал,I slept
чушь,nonsense
идеи,Ideas
центр,center
случиться,happen
остальное,rest
глазах,eyes
еда,food
каково,What
написать,Write
мимо,by
спит,Sleeping
чтo,What
джейк,Jake
звук,sound
рука,arm
даст,give
клэр,Clare
обе,both
черту,Damn
система,system
музыку,Music
поезд,train
удивительно,marvelous
пиво,beer
мертва,Dead
суда,ships
кости,bones
уехал,He left
команду,team
устроить,arrange
поеду,I'll go
церкви,churches
боли,pain
in,in
запись,Record
самолет,airplane
дедушка,granddad
первую,The first
заплатить,pay
белый,white
возле,near
вкус,taste
остальных,the rest
судья,judge
имена,names
уходите,Go away
поцелуй,kiss
плохие,Bad
проще,simpler
тест,test
сила,force
решить,solve
солдат,soldier
мальчика,boy
мартин,Martin
смысла,meaning
рода,kind
безумие,madness
выбрал,I chose
следовало,It should
принес,Bring
камеры,cameras
постели,bed
способен,capable
остается,It remains
земля,Earth
чак,Chuck
головой,head
справиться,cope
лицом,face
суде,trial
третий,the third
плюс,a plus
здание,building
двумя,two
дает,Gives
сказано,It is said
центре,center
кучу,A bunch
называть,call
началось,started
любовью,love
последняя,Last
сходить,go
маленькой,small
сестры,Sisters
завтрак,breakfast
трех,Three
работают,Work
играл,Played
результаты,results
которому,which
стыдно,ashamed
мария,Maria
нe,NE
звонила,Called
звали,The name was
стрелять,fire
слушаю,I'm listening
команде,team
шучу,kidding
пойдешь,You will go
встретил,Meet
возвращаться,come back
продать,sell
называют,called
кэтрин,Catherine
ќ,to
здоровье,health
долг,duty
еды,food
сообщить,to report
оказалось,it turned out
назвал,He called it
полицейский,police officer
даю,I give
разу,once
прекратить,stop
особо,Especially
столь,so
поставить,put
оружия,weapons
вернись,Come back
крис,Chris
остались,remained
ищем,are looking for
человеку,man
имела,had
принесу,I will bring
жене,wife
устала,tired
ушли,Left
выбраться,Get out
отправить,send
останусь,I will stay
захочет,He wants
похожа,Similar
прошла,passed
прочь,away
поговорю,I'll talk
смотришь,You look
брайан,Brian
держу,I hold
клиент,client
заставил,forced
кусок,piece
квартире,apartment
оставлю,I'll leave it
нравишься,Like
код,the code
впереди,Ahead
значения,meanings
принял,Accepted
важное,Important
старая,Old
рассказывать,tell
сработает,Work
цветы,flowers
уйду,I'll leave
убери,Take away
инспектор,inspector
посмотрю,I'll see
прощай,goodbye
решать,solve
согласна,agree
стив,Steve
реально,really
наедине,alone
карл,Charles
власти,authorities
заходи,Come in
преступление,the crime
полковник,Colonel
сохранить,save
маленькие,Small
явно,Obviously
дженни,Jenny
моими,mine
прекратите,Stop
бумаги,Papers
встречались,Meet
уилл,Will
выбрать,choose
папочка,daddy
страшного,terrible
девушек,girls
привести,bring
защищать,protect
приду,I'll come
прошлое,past
медленно,slowly
девять,nine
сбежал,He ran away
скучаю,I miss
адам,Adam
короля,king
поедем,Let's go
ешь,Eat
вернемся,Let's get back
компьютер,a computer
камеру,camera
линии,lines
видит,sees
плохого,Bad
чувствовал,I felt
осталась,Remained
письма,Letters
жива,alive
новых,new
поймать,catch
роберт,Robert
счёт,check
сбежать,run away
задать,Set
ногу,leg
холодно,cold
кровью,blood
начинает,Starts
душу,Soul
получит,Get it
любимый,favourite
послал,Sent
своём,your own
двадцать,twenty
остановись,Stop
глазами,Eyes
танцевать,dance
ответственность,responsibility
бар,bar
кровати,beds
информации,information
упал,fell
представляю,Imagine
временем,time
позвонила,I called
руками,hands
церковь,church
прекрасная,Beautiful
нибудь,something
колледж,college
чудо,miracle
отношение,attitude
услышал,I heard
дурак,fool
компанию,company
мяч,ball
давать,give
трое,three
комнаты,rooms
рады,Rada
номера,numbers
беспокоиться,worry
продолжайте,Continue
внезапно,suddenly
уходим,We leave
работали,worked
ценю,I appreciate
обвинения,Accusations
положение,position
вызвать,call
читал,read
мальчики,Boys
занимается,engaged
считать,think
специально,specially
убит,Killed
ким,Kim
забрали,They took it
большим,Big
заявление,statement
заставляет,Makes
уходит,Leaving
каждой,Everyone
чудесно,wonderful
прошел,passed
пропал,disappeared
войну,War
me,me
чё,what
урок,lesson
м,m
работой,work
зря,in vain
станешь,You will become
беспокоит,worries
звонит,Calls
судьба,fate
систему,system
брать,take
живут,Live
щрн,Short
мечты,Dreams
вспомнить,recall
мужчиной,man
карты,cards
остановиться,stay
решения,solutions
воздух,air
родился,was born
операция,operation
дэн,Dan
грейс,Grace
телефона,phone
назвать,Name
ход,move
томас,Thomas
жениться,marry
отель,hotel
мозга,brain
разных,different
правило,Rule
мужем,husband
взгляни,Take a look
просила,I asked
школа,school
поступить,to do
придёт,will come
лучших,the best
поступил,entered
вариант,option
закрой,shut the
ищет,Looking
вино,wine
слышите,Hear
бороться,fight
произойдет,will happen
умоляю,I beg
приехать,come
пахнет,It smells
роман,novel
прошлый,last
форме,form
дух,spirit
хорошей,Good
понимает,understands
миру,The world
угу,yes
каждое,Each
похожи,similar
ад,hell
кровать,bed
дождь,rain
оставайся,Stay
герой,hero
пива,beer
связано,related
задание,exercise
ушёл,gone
ждёт,Waiting
проклятье,Damn
садитесь,sit down
умею,I can
встретились,Meet
поможешь,Help
операцию,Operation
вновь,again
люк,Luke
правительство,government
системы,systems
извиниться,apologize
сидит,is sitting
предлагаю,I propose
попросила,I asked
президента,president
банк,bank
лео,Leo
свадьбу,Wedding
убедить,to convince
причин,reasons
возвращайся,Return
которыми,which
убивал,Killed
любое,Anyone
виде,form
нескольких,several
ак,Ak
теб,Teb
проводить,conduct
курс,well
зрения,vision
магазине,store
миль,Miles
секса,sex
миллион,million
едет,Rides
звонить,Call
душ,shower
умру,I will die
алан,Alan
келли,Kelly
адвоката,lawyer
смогут,They can
сзади,behind
баре,bar
действовать,act
убрать,put away
будущем,future
отдал,gave
болит,hurts
детям,children
рассказывал,told
узнаем,We will find out
срок,term
джона,John
ног,legs
малышка,baby
занимаюсь,I am engaged
свадьбы,Weddings
глубоко,deep
позади,behind
значение,meaning
волнуйтесь,worry
ходил,walked
обязан,must
душе,Soul
ю,Yu
пит,Pete
интервью,interview
элли,Ellie
фунтов,pounds
джентльмены,Gentlemen
сыном,son
святого,saint
кабинет,cabinet
счастье,happiness
тьi,ti
цру,CIA
основном,Mainly
смотрит,Looks
лучшим,the best
труп,dead body
предложил,offered
давление,pressure
занимался,Engaged
желаю,wish
отдел,Department
душа,soul
мамочка,mommy
скотт,Scott
выиграл,won
армии,Army
дин,Dean
ситуацию,situation
ничем,nothing
имеют,have
цели,goals
умирает,dies
святой,Saint
билет,ticket
погиб,Died
подобного,Similar
справлюсь,I can handle it
просить,ask
отеле,hotel
камень,a rock
некоторое,Some
носить,wear
отдохнуть,relax
бывший,former
трогай,Try
горжусь,I am proud
итоге,Condition
страх,fear
случается,It happens
купила,I bought it
принесла,Bring
считаете,You think
сумасшедший,crazy
исчез,Gone
контролировать,to control
получу,I will get it
начинаю,Starting
встать,get up
спрашиваю,I ask
петь,sing
красный,red
некоторых,Some
тед,Ted
выходи,Come out
возрасте,age
отпечатки,Prints
страну,country
ван,van
следить,track
держаться,hold on
штаны,pants
полной,complete
красивый,beautiful
удовольствие,pleasure
победить,win
ура,Hurrah
действия,actions
чарльз,Charles
уши,ears
сотни,Hundreds
несчастный,unhappy
хозяин,master
кевин,Kevin
признать,Recognize
мозги,brain
окна,window
этo,This
цвет,Colour
энн,Ann
название,title
показалось,It seemed
данный,the
занята,busy
шериф,sheriff
тип,type
приходить,come
морган,Morgan
появится,will appear
we,We
данных,data
провел,Spended
идеально,ideally
умрет,It will die
уолтер,Walter
прошли,passed
люси,Lucy
эбби,Abby
тюрьмы,prison
лекарство,medicine
классно,cool
защиты,protection
работаем,We work
надеялся,Hoping
живёт,Lives
отвали,back off
целую,kiss
королева,queen
сидел,Sitting
m,m
улицу,Street
бросила,Threw it
доброй,Good
подобное,Similar
поблагодарить,give thanks
расскажите,Tell us
ќе,b
ожидал,Expected
самому,Himself
сестру,sister
вытащить,pull out
вкусно,yummy
оставили,left
грудь,breast
выиграть,win
принеси,Bring
животных,animals
собственной,own
гей,gay
дому,home
прием,Reception
кухне,kitchen
волноваться,worry
количество,number
вторая,The second
встрече,meeting
узнаешь,You will find out
отвечать,answer
странный,strange
новым,new
таблетки,tablets
твоём,yours
убьет,Kill
изменилось,Changed
выпьем,Let's drink
мужчину,man
закончилось,It ended
половину,half
ханна,Hannah
побыть,to stay
мёртв,dead
огромное,Huge
сделайте,Make it
передай,Give it
сядь,Sit down
замок,lock
учиться,to study
отпустите,Let go
счастливы,Happy
настоящие,Real
участок,site
деньгами,money
вечеринке,Party
лекарства,Medicines
гости,guests
ведет,leads
стараюсь,trying
дерьма,shit
великий,great
попытаться,to attempt
собирались,Gathered
богом,God
связаться,contact
поесть,Eat
лучшего,the best
слухи,gossip
любого,Anyone
наоборот,vice versa
пригласить,to invite
братом,brother
умеешь,You know how
братья,Brothers
отвечает,answers
проходит,passes
ниже,below
спроси,ask
зубы,teeth
парню,guy
поверьте,Believe me
нашему,ours
власть,power
девчонка,Girl
т,t
районе,area
погодите,Wait
воспоминания,memories
спала,sleeping
on,on
контроль,control
списке,list
естественно,naturally
автобус,bus
положи,put
женат,married
лежит,Lies
вызов,call
считают,think
короче,shorter
пяти,Five
скучно,boring
появилась,appeared
тренер,trainer
делайте,do it
общего,general
игре,game
живо,lively
песни,songs
вечеринки,Parties
придумал,invented
попала,I got it
убивает,Killing
отправил,Sent
he,he
клиентов,customers
черный,black
забыли,forgot
чувствует,Feeling
пригласил,invited
ресторан,restaurant
кэти,Katie
плохое,bad
копы,cops
увидите,See
ќо,ќ
включая,including
улики,evidence
ларри,Larry
придумать,come up with
процесс,process
проект,project
лесу,forest
дорога,road
службы,services
очки,glasses
живой,alive
жертв,victims
бля,fucking
счастью,happiness
бойся,Fear
болезнь,disease
расскажешь,Tell me
женщине,woman
семьей,family
создать,create
приходил,Came
майор,Major
перестать,stop
хороша,Good
пользу,benefit
умный,smart
классе,class
надеяться,hope
перерыв,break
проверь,Check
остров,Island
ќн,ќn
сесть,Sit down
собираются,Gathering
ответил,replied
хрена,crap
чикаго,Chicago
точки,Points
множество,a bunch of
столе,table
элизабет,Elizabeth
позволил,allowed
само,Sam
убьют,will kill
робин,Robin
кошмар,nightmare
рукой,hand
совпадение,coincidence
имеем,We have
занимаешься,You are engaged
убийцы,the killers
поймали,Caught
is,IS
присоединиться,join
официально,officially
принцесса,princess
понимать,understand
терпеть,tolerate
ть,t
любим,love
суть,The essence
первые,The first
полегче,easier
ими,them
правде,Truth
заботиться,take care
поднять,Raise
болен,is ill
попробуем,Let's try
бояться,afraid
голоса,vote
радостью,joy
покинуть,Leave
оказаться,be
обнаружили,discovered
постель,bed
отойди,Fasten
жили,Once upon a time
шлюха,whore
памяти,memory
опыт,experience
последней,last
вызывает,Calls
буквально,literally
ненадолго,not for long
всякий,any
собрать,Collect
половина,half
жила,lived
думаем,We think
смертью,death
чёрта,Damn
тему,topic
дольше,longer
пятницу,Friday
любите,Love
статус,status
стивен,Stephen
успокойтесь,Calm down
ненавидит,He hates
замужем,married
праздник,celebration
источник,a source
телевизор,TV set
откройте,Open
интересует,Interested
груди,breasts
попробую,I'll try
грузовик,truck
беру,I take it
улицы,streets
начальник,Chief
девочек,girls
ищешь,Looking for
провели,Spent
местах,places
ди,di
лаборатории,laboratories
фил,Phil
первом,The first
получите,Get it
эндрю,Andrew
разберусь,I'll figure it out
одолжение,favor
познакомились,We met
оказывается,turns out
уехала,left
нелегко,not easy
причине,reason
чек,check
элис,Alice
избежать,to avoid
представь,Imagine
карту,card
важнее,more important
полчаса,half an hour
побольше,More
убийцу,The killer
собаку,Dog
умеет,Able
заплатил,Paid
ударил,hit
контракт,the contract
марти,Marty
свидетель,witness
полу,Paul
любимая,darling
поговори,Talk
артур,Arthur
ошибки,Errors
бой,the fight
цвета,colors
ветер,wind
руке,hand
тоби,Toby
виски,whiskey
принц,prince
звоню,I'm calling
другому,another
счета,accounts
ощущение,Sensation
внимательно,attentively
домом,home
днём,In the afternoon
попали,hit
ќет,He
ванной,bathroom
согласны,agree
роли,Roles
найдешь,You will find
целью,The goal
ерунда,nonsense
лошадь,horse
словами,words
рак,cancer
извиняюсь,I'm sorry
предупредить,warn
узнают,Learn
смей,Smell
проходите,Come on
полная,Complete
готовить,prepare
вернётся,will return
штата,state
рейчел,Rachel
класса,class
мертвы,Dead
путешествие,travel
стены,walls
чувствовала,I felt
достал,I got it
знаком,sign
свободу,Freedom
теми,those
звонки,calls
закрыть,Close
молли,Molly
шум,noise
небольшая,Small
осторожнее,Caution
надолго,For a long time
дерево,tree
папой,dad
вину,guilt
сильный,strong
войне,war
странное,Strange
эмма,Emma
бежим,Run
бедный,poor
энергии,energy
кафе,a cafe
спишь,Sleep
квартира,apartment
показал,showed
больницы,hospitals
начинать,start off
впечатление,impression
спину,back
схожу,I'm going
виновата,To blame
ждала,Waited
кейси,Casey
сквозь,through
джесси,Jesse
разговаривал,Talking
ћы,ћ
джереми,Jeremiah
зад,ass
любую,Any
секундочку,Second
придут,They will come
колени,lap
выгляжу,I look
отвезти,Take away
миллиона,million
управлять,to govern
останешься,You will stay
q,Q.
горло,throat
субботу,Saturday
именем,name
отказаться,refuse
париж,Paris
бред,rave
билеты,Tickets
сработало,It worked
d,D.
my,My
старший,older
умирать,die
немножко,A little
спрашивал,He asked
представляет,is
начинай,Start
жертву,victim
находиться,be
спросила,asked
девчонки,Girls
ордер,order
дышать,breathe
написала,wrote
увидит,See
свадьба,wedding
совершил,committed
харви,Harvey
колледже,College
чертов,Damn
сообщения,messages
нил,Nile
помощник,assistant
выходить,go out
удастся,will succeed
капитана,Captain
спиной,back
страна,country
перезвоню,I will call you back
ответы,Answers
согласился,agreed
зная,Knowing
скорость,speed
парк,the park
иисус,Jesus
салли,Sally
одновременно,simultaneously
мэтт,Matt
метров,meters
поведение,behavior
камера,camera
ангел,angel
пройдет,will pass
возвращается,Returns
занять,take
контролем,control
отказался,Refused
заметила,I noticed
зла,evil
заслуживает,deserves
дворе,courtyard
золото,gold
ящик,box
детали,details
мсье,Monsieur
положить,put
проверю,Check
анализ,analysis
пошло,It went
извинения,apologies
пытаемся,Trying
боится,fears
фильма,film
поймал,Caught
доверяю,I trust
девушке,girl
мишель,Michelle
разрешение,permission
отношений,relationships
станции,Stations
звони,Call
займусь,I'll take it
чувствуете,Feel
подойди,Come
джейсон,Jason
мэр,mayor
переживай,Really worry
доктором,Doctor
здания,building
живых,living
заберу,I will take it
личное,Personal
воскресенье,Sunday
вселенной,universe
использует,Uses
убей,Kill
напоминает,reminds
кабинете,cabinet
палец,finger
глава,chapter
лагерь,camp
отношениях,relationship
секреты,Secrets
верите,Believe
волос,hair
каждая,Each
джош,Josh
отпустить,let go
необходимости,need
врать,lie
браво,Bravo
увидели,See
ходит,Walks
результат,result
фильме,film
мясо,meat
группу,group
признаться,confess
оказалась,It turned out
джин,gin
налево,left
выжить,survive
займет,Take it
пропустил,missed
использовали,Used
большого,Big
держит,Holds
одиночку,Loner
одежда,clothes
оливер,Oliver
дл,dl
старой,Old
дают,Give
доктору,doctor
пропала,Gone
ком,com
помни,Remember
нашими,ours
марта,Martha
потребуется,would need
играешь,You play
научиться,learn to
грустно,sad
картер,Carter
играю,I play
бомба,bomb
дитя,child
начну,I'll start
хмм,hmm
двигайся,Move
клубе,club
пациент,a patient
звезда,star
пойдёт,will go
красивые,Beautiful
позабочусь,I will take care
постараюсь,will try
забудьте,Forget
позаботиться,Take care
быстрей,Faster
крайне,Extremely
корабля,ship
надежда,hope
посреди,in the middle
провела,Spent
стоял,stood
хэнк,Hank
штук,things
наплевать,I don't give a damn
обсуждать,discuss
свободен,free
занимались,engaged
аминь,Amen
найдут,They will find it
боялся,I was afraid
найдём,Find
сестрой,sister
работаете,Work
пальцы,fingers
понедельник,Monday
ужасный,horrible
вернешься,You will return
живешь,Live
опоздал,late
сумку,bag
старше,Older
хрень,crap
встретила,I met
скорей,Hurry
ти,TI
терять,lose
считал,I counted
нигде,Nowhere
получает,Gets
ровно,smooth
особенного,Special
what,What
несомненно,Undoubtedly
водой,water
каждом,Everyone
скучать,miss
софи,Sophie
будущего,future
америке,America
мэгги,Maggie
гостей,guests
каждым,Each
надеть,put on
второе,Second
сне,dream
ужас,horror
воспользоваться,take advantage
карен,Karen
доказательств,evidence
проблему,problem
след,track
требует,Requires
барри,Barry
мистером,Mr.
напротив,against
мест,places
движение,movement
прошлого,of the past
отчет,report
обычный,normal
приедет,will come
мечта,dream
связаны,connected
штуку,thing
подумали,Thought
заметили,Noticed
прям,Straight
начнём,Let's start
проверил,Checked
твоими,yours
попытка,attempt
франции,France
рисковать,to risk
джефф,Jeff
заслужил,deserved
алиби,alibi
отстой,sucks
жди,Wait
простой,simple
отпуск,vacation
виделись,We saw each other
условия,terms
изменился,Changed
захотел,Wanted
гений,genius
детстве,childhood
меч,sword
лето,summer
послушать,listen
собрались,Gathered
огромный,huge
обвинение,Accusation
девочку,girl
собственный,own
программу,Program
вещах,things
пёп,dog
мю,Mu
полное,Complete
украсть,steal
спрашивать,to ask
неловко,awkward
найдите,Find
помогла,Helped
начинаем,begin
совета,Council
сомнения,doubts
сучка,bitch
небо,sky
сражаться,fight
позвонили,They called
желания,Desires
стене,wall
подружка,Girlfriend
заняты,busy
людях,people
пола,Paul
ла,La
шансы,Chances
представление,representation
открыл,Opened
драться,fight
поиграть,Play
рик,Rick
заходите,Come in
дашь,Give
бо,Bo
сериале,series
клиента,client
плакать,cry
парке,Park
this,This
следующем,next
требуется,Required
риск,risk
врача,doctor
сверху,above
лице,face
хороших,Good
поставил,set
простить,Forgive
разрешения,permission
лес,forest
пенни,a penny
горы,the mountains
последнюю,Last
ќу,ќ
собаки,dogs
отдела,department
съесть,Eat
ай,ay
лиза,Lisa
пытаются,Trying
нравилось,I liked it
счастливой,Happy
личность,Personality
минимум,minimum
су,Su
тетя,aunt
встретить,meet
лондон,London
болезни,diseases
выйду,I will go out
донна,Donna
мари,Marie
привело,brought
приняли,Accepted
заново,Reveal
приходи,Come
зло,evil
оружием,weapons
продал,Sold
обнаружил,discovered
взгляните,Take a look
поделать,To do
встречался,Meet
управление,control
арестовали,Arrested
украли,Stole
уме,mind
выстрел,shot
круг,circle
наблюдать,observe
джеки,Jackie
близки,close
пытаясь,Trying
элисон,Alison
отвратительно,Disgusting
поехал,I went
норме,norm
стоят,They stand
пальцев,fingers
полном,complete
выглядят,Look
саймон,Simon
следов,traces
крутой,steep
бывают,There are
вышли,Come out
создал,Created
ужасное,terrible
зал,hall
псих,crazy
исследования,research
джонс,Jones
говорится,It is said
животное,animal
верит,believes
сделка,deal
живым,alive
мистеру,Mr.
форму,Form
наружу,out
оказались,turned out to be
поисках,Search
дочерью,daughter
силой,power
покончить,to end
стену,wall
неожиданно,suddenly
умерли,Died
разум,intelligence
бутылку,A bottle
ответь,Answer
закончила,Finished
роуз,Rose
объясняет,Explains
цена,price
стэн,Stan
н,n
джесс,Jess
ранен,injured
терри,Terry
ходят,Walking
фу,ugh
зале,hall
отдам,I will give
появились,appeared
счастья,happiness
уйди,Go away
искали,Searched
маленькую,Small
ждали,Waited
пьян,Drunk
сперва,first
тим,Tim
кэролайн,Caroline
группе,group
свидетелей,witnesses
собрался,Gathered
армия,army
снимать,take off
своя,own
позвоните,Call
красавица,gorgeous
мо,Mo
охрана,security
добиться,achieve
писал,He wrote
прибыли,arrived
отойдите,Go away
for,for
осторожен,Caution
жарко,hot
закончим,Finish
открывай,Open
агента,agent
голоден,Hungry
ищут,Looking for
безусловно,undoubtedly
отправиться,go
используют,Use
останься,Stay
волнуюсь,worried
управления,management
поиски,search
товарищ,comrade
футбол,football
хелен,Helen
замечательный,great
столом,table
направо,right
плачу,I cry
your,your
борту,side
бесплатно,for free
лицу,face
похороны,funeral
квартиры,apartments
попрошу,I will ask
удобно,conveniently
куплю,I will buy
сцену,scene
книге,book
участие,participation
постарайся,Try
важный,important
клуба,club
виктор,Victor
автомобиль,automobile
америки,America
возьмем,Take it
д,D.
настоящим,real
свадьбе,Wedding
возраста,age
выбрала,I chose
устройство,device
служба,service
пожар,fire
каждому,to each
блять,Fuck
бросай,Throw
тупой,stupid
поработать,Work
молоко,milk
дорогуша,Darling
недалеко,near
выбирать,choose
вскоре,soon
привел,brought
дождаться,wait
превосходно,perfect
произойти,happen
папы,Dad
упала,Falled
объясню,will explain
миром,The world
разговаривали,talked
единственным,The only one
приходят,Come
получим,Get
справишься,You can handle it
туфли,shoes
женаты,married
уильям,William
участвовать,participate
надоело,Tired
искала,I searched
пойдемте,Come on
сыграть,Play
занятия,lessons
англии,England
модель,model
выхода,output
тратить,to spend
взрыв,explosion
смотрела,I looked
пирог,pie
платят,Pay
командир,commander
определить,define
вырос,increased
подозреваемый,suspect
беспокоюсь,I'm worried
большее,More
наблюдения,Observations
беспокойтесь,Conet up
входите,Come in
общества,society
вел,led
нога,leg
сними,with them
второго,second
самую,The most
степени,degree
мастер,master
карта,map
вспомнил,I remembered
хранить,keep
сети,Network
преступник,criminal
сумасшедшая,Crazy
последним,Last
следующее,following
уберите,Remove
газеты,newspapers
роджер,Roger
радость,joy
продолжить,continue
секунды,seconds
лорд,Lord
найдет,Find
ходила,Walked
сплю,I sleep
добавить,add
магазина,store
предпочитаю,I prefer
посмотрел,I looked
корабле,ship
собак,dogs
рождества,Christmas
контакт,contact
папе,Dad
re,re
расстались,broke up
приступ,attack
джейми,Jamie
дружок,Friend
последнего,last
штат,state
роде,gender
принимаю,I accept
планете,planet
смотрели,watched
л,l
доставить,deliver
заказ,order
напал,attacked
маленьким,small
сбежала,Runned
теле,body
играли,were playing
понравился,I liked it
торт,cake
родителями,parents
благодарен,thankful
чаще,more often
контроля,control
дыхание,breath
приняла,Accepted
устраивает,arranges
дар,gift
настроение,mood
пары,couples
нападение,attack
причиной,reason
no,No
держитесь,Hold on
париже,Paris
установить,install
банка,jar
оставайтесь,Stay
общаться,communicate
сыну,son
закона,law
лоис,Lois
пациентов,patients
родителям,Parents
отправили,sent
продолжим,Continue
выбрали,Choose
убирайтесь,Get out
хорошенько,well
милорд,my lord
сошел,Set down
границы,Borders
некуда,Nowhere
ходили,went
смотрят,Look
острове,Island
восторге,delight
цену,price
летом,in summer
заставила,forced
хорошую,Good
ён,Yon
верни,Return
нравлюсь,I like me
надежды,Hopes
далее,Further
обмен,exchange
враг,enemy
принято,accepted
поля,Fields
повторяю,I repeat
носит,wears
просит,Asks
патрик,Patrick
пари,bet
пугает,scares
оливия,Olivia
талант,talent
сердцем,heart
помогли,Helped
борт,board
отстань,Leave me alone
хрен,horseradish
подарки,gifts
се,Ce
ворота,gates
тайлер,Tyler
рой,Roy
лечение,treatment
одиночестве,loneliness
разговоры,Talk
увидим,See
ждем,we wait
доказательство,proof
уходишь,You leave
счастливого,Happy
звонили,They called
шею,neck
положении,position
глупости,stupidity
угол,corner
постойте,Wait
здании,building
фотографию,Photo
луис,Louis
пользоваться,use
пытаться,try
пишет,Writes
уверяю,I assure
точка,dot
ложись,Lie down
шансов,Chances
видим,See
плана,plan
способности,capabilities
продавать,sell
исключением,exception
оставим,Leave
роза,rose flower
число,number
мусор,garbage
штуки,pieces
женился,married
папу,dad
нанял,hired
помнить,remember
лучшей,the best
выглядите,Look
странные,Strange
водитель,driver
кэрол,Carol
ужасная,terrible
собрание,meeting
обязаны,Obligated
елена,Elena
пальто,coat
солнца,sun
фактически,actually
