Russian,English
прекрасна,Beautiful
отличное,Great
сок,the juice
расти,grow
выглядел,He looked
миллионы,Millions
обеда,Lunch
проверьте,Check
хлеб,bread
судить,judge
фамилия,surname
кэрри,Carrie
заплачу,I will pay
четверг,Thursday
арестовать,to arrest
дверью,door
счастливым,Happy
кричать,scream
лестнице,staircase
ээ,uh
скрывать,hide
новостей,news
века,centuries
ми,mi
положил,Put
эшли,Ashley
следовать,follow
эд,Ed
стиле,style
поддержки,support
фургон,van
сью,Sue
коп,Cop
эпизод,episode
ею,She
танец,dance
причину,reason
пример,example
теория,theory
системе,system
воздуха,air
процентов,percent
подняться,rise
концерт,concert
словам,words
маленьких,small
планеты,planets
образ,image
задача,a task
расстроен,upset
вирус,virus
духе,spirit
раны,wounds
сознание,consciousness
эрика,Erika
смех,laughter
собственного,own
правил,Rules
началась,It has begun
почувствовал,I felt
программа,program
относится,Refers
нуждается,Needs
пропустить,skip
провожу,I spend
субтитры,subtitles
защиту,protection
завести,Bind
верну,I will return
глупая,Stupid
столик,table
вины,guilt
напали,attacked
сделаете,Do it
погибли,Died
маленького,small
пуля,bullet
умираю,I am dying
оставлять,leave
послать,send
связан,Related
звезды,stars
каков,what
хуй,Dick
базе,base
спросите,Ask
силах,forces
воде,water
младший,younger
винсент,Vincent
прислал,Send
месяце,month
полицейские,Police
повод,occasion
собственную,Own
остаётся,Remains
джулия,Julia
нравиться,like
пациента,patient
углу,corner
задница,ass
появляется,Appears
тома,Tom
увидеться,see
стрелял,Shot
наркотиков,drugs
слушаешь,You listen
минуточку,Minute
лондоне,London
идёшь,You go
настоящего,present
отвечай,Answer
was,was
разрушить,Destroy
понравилась,I liked it
живы,Alive
пули,Bullets
договор,Treaty
названием,name
самоубийство,suicide
захотите,Want
е,e
боялась,I was afraid
стреляй,Shoot
одежды,clothes
делами,deeds
приглашение,invitation
изо,Izo
покупать,buy
опасность,danger
джули,Julie
очереди,queues
машин,cars
дорого,expensive
ногами,legs
старого,Old
безопасно,safely
ошибся,wrong
лорен,Lauren
танцы,dancing
услугу,service
возражаете,You object
неделя,a week
ответа,answer
защита,protection
позволит,will allow
заметить,notice
барни,Barney
спрашиваешь,You ask
доволен,satisfied
навестить,visit
живот,stomach
успел,managed
дьявол,devil
деньгах,money
устроил,Arranged
уволили,Fired
шанса,Chance
странным,Strange
скорую,Ambulance
кармане,Pocket
чья,whose
хлоя,Chloe
творится,Those going on
освободить,Free
точку,point
этаж,floor
злишься,You are angry
задницы,ass
разговора,conversation
события,developments
бить,beat
мак,poppy
подумайте,Think
владелец,owner
эйприл,April
перестал,Stopped
обоим,both
ем,eat
приготовить,Prepare
глупый,silly
суп,soup
будучи,Being
рикки,Ricky
сделают,will do it
почувствовать,feel
вернёмся,Let's get back
редко,seldom
встречалась,Meet
забуду,I will forget
следи,Watch
свободе,Freedom
l,L.
фотография,photo
исчезла,Gone
небольшое,Small
камер,cameras
начале,beginning
подойти,come up
ааа,aaa
доверие,the trust
заднице,ass
ел,ate
целая,whole
зак,Zak
протяжении,length
неа,nope
свободны,Free
смеяться,laugh
страха,Fear
слева,left
принимает,Accepts
тридцать,thirty
общество,society
кусочек,slice
трёх,Three
джексон,Jackson
подожду,I'll wait
принёс,brought
половиной,Half
проверим,Check
лгать,lie
надеялась,Hoping
находятся,are located
вреда,harm
наказание,punishment
закончу,I'll finish
пулю,Bullet
держал,He held it
едешь,You go
сцене,scene
большего,more
замолчи,Shut up
поддерживать,support
сьюзан,Susan
поедешь,You will go
oн,He
расстроена,upset
тысячу,thousand
сестре,sister
членов,members
мадемуазель,Mademoiselle
прошлым,past
снял,stripped off
безопасность,security
нехорошо,not good
представляете,Imagine
фильмы,movies
джоан,Joan
событий,events
маргарет,Margaret
журнал,Journal
дэниел,Daniel
уроки,lessons
газ,gas
веди,Lead
личности,personalities
выйдешь,You will go out
поверил,I believed
настоящей,real
области,areas
годами,years
поцеловать,kiss
подряд,contract
майка,T -shirt
вера,Vera
больших,Big
странная,Strange
прибыл,Arrived
безумно,Madly
опусти,Lower
полгода,Six months
позволяет,Allows
санта,Santa
вход,input
показывает,Shows
высочество,Highness
хан,Khan
дадим,Let's give it
возможное,possible
действует,acts
должность,position
машиной,car
съел,I ate
all,all
читала,I read
вторник,Tuesday
даёт,Gives
программы,programs
проснулся,awoke
старых,Old
успех,success
любили,Love
картину,picture
службу,service
вдвоем,together
покажите,Show
район,area
касл,CASL
остановите,Stop
аманда,Amanda
прокурор,Prosecutor
заработать,Earn
молчать,Silence
классный,Cool
спенсер,Spencer
ребёнком,child
смит,Smith
дерек,Derek
больна,Sick
солдаты,Soldiers
офиса,office
попробуйте,Try it
поближе,closer
мер,measures
высоко,high
урод,freak
территории,territory
обещание,Promise
играют,Play
бюро,the Bureau
пойми,Understand
этаже,floor
лесли,Leslie
захочу,I want
меняет,Changes
дю,Du
with,with
долгое,Long
спрошу,I'll ask
определённо,definitely
сценарий,scenario
виновен,guilty
вынужден,Forced
движения,movements
друзьям,Friends
шевелись,moved
пей,Drink
десяти,Ten
приятного,pleasant
обращаться,address
дне,day
пакет,plastic bag
береги,Take care
услышала,I heard
стиль,style
поспать,sleep
народа,people
переехать,run over
пост,fast
be,Be
росс,Ross
живем,We live
согласилась,I agreed
звать,call for
следующие,The following
хватило,Enough
начнется,will begin
речи,Speech
отвезу,I'll take it off
продолжает,continues
сеть,network
ведешь,You lead
изменится,Change
нету,no
шутки,jokes
отеля,hotel
правительства,Government
становятся,They become
тени,Shadows
прекрасное,beautiful
найдете,Find
верил,Believed
поблизости,nearby
занимаетесь,You are engaged
делам,deeds
свободы,Freedom
дыши,Breathe
образец,sample
стоишь,You are standing
тедди,Teddy
звонков,calls
поступила,I acted
принесли,have brought
отличие,Difference
by,by
лжи,lies
рассказывала,told
умная,clever
b,B.
замечательная,wonderful
станут,They will
призрак,ghost
переговоры,negotiation
кайл,Kyle
настроении,mood
йюй,yu
хватало,enough
подать,Serve
обсудим,We will discuss
справа,on right
начинают,Start
хо,Ho
попрощаться,say goodbye
искусство,art
правды,Truth
уйдет,will leave
передайте,Submit
проблемой,problem
поддержку,support
позволите,Let it
фрэнки,Frankie
средства,funds
блэр,Blair
фред,Fred
направлении,direction
know,Know
сильная,Strong
научился,Learned
приходилось,had to
остановились,Stopped
ибо,for
ребекка,Rebecca
победа,victory
печально,sadly
счастливо,happily
придешь,You will come
пригласили,invited
пью,drink
зашел,I went in
итан,Ethan
фредди,Freddie
давал,Gave
толку,no avail
точнее,more precisely
бомбу,bomb
кожа,leather
изменил,changed
джека,Jack
аварии,accidents
предстоит,There is ahead
следующая,The next
период,period
подвале,basement
приём,Reception
рай,paradise
жертвой,victim
делах,deeds
убийств,murders
остановился,has stopped
карьеру,career
справедливо,fair
невеста,bride
поступать,to act
напарник,partner
парнями,guys
армию,Army
зеркало,mirror
отличные,Great
идею,idea
заканчивается,ends
относительно,relatively
копов,Kopov
банке,bank
встречается,Found
ум,mind
самим,ourselves
женщинами,women
имели,had
сан,San
выпил,I drank
врачи,Doctors
вред,harm
самолёт,airplane
горе,Woe
наркотиками,drugs
смотря,Looking
рэйчел,Rachel
приходите,Come
р,R
поймешь,You will understand
слышно,heard
построить,Build
получать,receive
концу,to the end
новом,New
товар,product
летать,fly
рон,Ron
занималась,I studied
сознания,consciousness
вызвал,CALL
менеджер,manager
правилам,rules
наиболее,most
шел,Walked
соседи,neighbors
расслабиться,to relax
маркус,Marcus
последствия,effects
нахуй,Fuck
полную,Full
ужасные,terrible
tы,t
уровне,level
сути,essence
спасла,Saved
сошла,Sent
выражение,expression
скрыть,Hide
рюй,Ruy
левой,left
кристина,Christina
чудовище,monster
лу,Lou
заранее,in advance
подойдет,Suitable
скажут,They will say
бет,Bet
дура,stupid
тошнит,be sick
подарил,Give me
сижу,sitting
любопытно,curious
сломал,Broken
подруги,girlfriends
ненавидишь,You hate
умрёт,It will die
президентом,president
забывай,Forget
купили,bought
записку,note
уважения,respect
обещала,promised
существо,creature
ресторане,restaurant
партнер,partner
кожи,skin
навредить,harm
паркер,Parker
проверили,Checked
выпей,Drink
веду,lead
родилась,Born
заставили,Forced
so,so
сегодняшнего,Today
лодку,boat
результате,result
стакан,cup
прочитать,Read
научил,taught
пережить,survive
красавчик,handsome
пойму,I will understand
расследования,investigations
счастливый,happy
учителя,Teachers
добры,Good
лучшему,the best
размер,the size
колледжа,College
интересное,Interesting
ограбление,robbery
линда,Linda
подписать,sign
каждые,Each
пойдёшь,You will go
назвали,They called it
охраны,security
крошка,chit
признание,confession
любые,Any
красота,the beauty
победил,won
уровня,level
сделки,transactions
белого,White
прочим,otherwise
статью,article
мешок,bag
зои,Zoe
лошади,horses
аэропорт,the airport
округе,district
сосед,neighbour
представьте,Imagine
способны,able
ставки,bets
университет,University
почту,mail
просили,asked
ведьма,witch
прелесть,charm
масло,butter
жопу,ass
приеду,I'll come
останови,Stop
классная,Cool
факты,facts
умирают,Dying
полицейского,policeman
луи,Louis
выходите,Come out
городу,city
главным,The main thing
острова,Islands
пил,drank
помнит,Remember
нa,On
остановитесь,Stop
меры,measures
вернутся,will return
рыба,fish
not,not
жалко,it's a pity
линию,line
восстановить,reestablish
лора,Laura
форма,the form
интерес,interest
яд,poison
интернете,Internet
видят,See
приму,I will accept
че,Che
лабораторию,Laboratory
подтвердить,confirm
служить,serve
бывшая,Former
попытался,I tried
угроза,threat
испортил,ruined it
улик,evidence
засранец,Asseck
бетти,Betty
вашингтон,Washington
вправду,Really
коробку,box
позиции,positions
последних,the latter
существуют,exist
показаться,appear
шла,Walked
прокурора,prosecutor
джордан,Jordan
ножом,With a knife
купер,Cooper
микки,Mickey
нэнси,Nancy
забрала,I took it
поделиться,Share
бум,boom
сэмми,Sammy
хожу,I go
проснись,Wake up
лежать,lie
спрашивает,He asks
русские,Russians
уезжаю,I'm leaving
громко,loud
пораньше,Early
кристин,Christine
разговариваю,I'm talking
белые,White
учился,studied
одри,Audrey
шести,six
личные,Personal
сеньор,Senor
отправился,He went
предполагаю,I suppose
запомни,Remember
вашими,yours
падает,falls
заполучить,Get out
майкла,Michael
правильный,correct
прикрытием,cover
грант,grant
винить,blame
мужу,husband
поездка,the trip
искусства,art
детства,Childhood
слушает,listens
помогал,Helped
судьбу,Fate
занимаются,They are engaged
обсуждали,discussed
считается,counts
can,can
отследить,Track
происходило,It happened
встречал,Meet
открою,I will open
окажется,It turns out
подними,Raise
америка,America
встречаюсь,I meet
взрыва,explosion
повторять,repeat
напомнить,remind
лиз,Liz
ведут,lead
don,Don
изменилась,Changed
have,have
больной,sick
do,do
сад,garden
лме,LMA
поговорил,I talked
ева,Eve
лодке,boat
сумму,sum
проверка,examination
местечко,place
поспорить,To argue
поехала,I went
проваливай,Get out
пляже,beach
метро,metro
перестаньте,Stop
отсутствие,absence
пешком,on foot
передо,in front
брюс,Bruce
пригласила,invited
вор,thief
узнаете,Learn
придти,come
гордон,Gordon
казино,casino
тема,theme
скорости,speed
стрит,straight
изменения,changes
губы,lips
боятся,afraid
девочкой,girl
осторожней,Be careful
пуаро,Poirot
вес,the weight
известный,known
гость,the guest
бедная,Poor
менять,change
нравился,I liked it
закончилась,ended
рыбу,fish
непросто,not so easy
бонни,Bonnie
курить,smoke
остальным,the rest
получаю,I get it
угадай,guess
издеваешься,You are kidding
пишу,writing
отменить,cancel
тейлор,Taylor
обратиться,Turn
свинья,pig
врагов,enemies
послание,message
ждешь,You are waiting
желает,Wishes
базу,base
америку,America
влюблен,In love
оскар,Oscar
важная,Important
убивают,Kill
стоить,cost
шоссе,highway
ест,is eating
картины,paintings
позволила,allowed
дорогие,expensive
стюарт,Stewart
шутите,Joking
помогут,They will help
благодарения,Thanksgiving
доброго,Good
убежать,run away
встречаемся,We meet
времен,times
кот,cat
директора,Director
сложнее,more difficult
играем,We play
расскажет,tell
застрял,stuck
сволочь,Bastard
такова,Such
плане,plan
север,north
мальчиков,boys
ян,Yang
действий,actions
высокий,tall
чей,whose
способом,way
саду,garden
карлос,Carlos
стреляли,They shot
снимай,Take off
мечтал,dreaming
сообщили,Reported
проиграл,Lost
реки,Rivers
первых,the first
стою,I'm standing
мальчиком,boy
мотив,Motive
умрешь,You will die
причинить,cause
добра,of good
телом,body
сиди,Sit
бизнеса,business
привела,brought
отдала,I gave it
нечестно,not fair
являются,are
огня,fire
спальне,bedroom
пэм,Pam
полицейских,police officers
снимки,Pictures
брал,I took it
езжай,Go
вали,Vali
эээ,uh
лемъ,Lem
вероятность,probability
ожидала,Expected
монстр,monster
фигня,Figina
ошибаешься,You are mistaken
способна,capable
повторить,repeat
сэма,Sam
народу,people
огромная,Huge
уехали,left
but,but
печенье,biscuit
перейти,Go
привезли,Brought
адвокатом,lawyer
зол,angry
министр,Minister
подобные,Similar
мнению,opinion
кухню,kitchen
побыстрее,quickly
научить,teach
главная,home
хейли,Haley
успеха,success
гиббс,Gibbs
учить,teach
джессика,Jessica
использовала,I used it
братьев,brothers
вторую,second
станем,We will become
just,Just
мороженое,ice cream
справимся,We can handle it
службе,service
заднем,back
вещами,things
совершить,make
трогать,touch
нарушение,violation
звонка,call
oh,OH
начинаешь,Start
туалете,toilet
скорой,Ambulance
воздухе,air
сиськи,boobs
мешать,interfere
какова,what
подери,Search
выходных,weekend
камере,chamber
помешает,It will interfere
спорить,argue
назвала,Name
отомстить,take revenge
ответила,answered
спасли,Saved
специальный,special
майами,Miami
угрозу,threat
сыр,cheese
возвращаюсь,I'm returning
отправила,Sent
удержать,keep
передам,I will transfer
входит,Enters
сорок,fourty
ездить,drive
животные,animals
горит,Burning
задавать,set
встал,got up
маленькое,Small
убьёт,Kill
следующего,next
попозже,later
путем,by the way
брака,marriage
пацан,The kid
состоит,includes
пытаетесь,Trying
ночам,nights
рейс,flight
заменить,replace
зомби,zombie
взрослый,adult
хороши,Good
закрыто,closed
согласиться,agree
удивлен,Surprised
случая,case
героем,hero
винс,Vince
материал,material
реальность,reality
прошёл,passed
бут,boot
рубашку,shirt
ботинки,boots
залог,pledge
разговаривает,Talking
поживаете,Are you
потратил,I spent
соглашение,agreement
подругой,girlfriend
трус,coward
чая,tea
всє,Everybody
местом,place
художник,painter
комиссар,Commissioner
сидишь,You sit
тост,toast
конкретно,specifically
миссия,mission
изменит,Change
брату,brother
сенатор,Senator
угадаю,I guess
любая,Any
снег,snow
выжил,survived
лукас,Lucas
разницы,differences
развод,divorce
берегу,shore
свободна,Free
бей,Beat
бомбы,Bombs
украла,stole
привлечь,attract
приведет,will lead
свобода,Liberty
рассказали,told
уважение,respect
меняется,It changes
поможете,Help
кит,whale
мост,bridge
забери,Take it
правой,right
выступление,performance
священник,Priest
разок,once
кровотечение,bleeding
одиноко,alone
члены,members
отношению,attitude
тётя,uncle
тревога,anxiety
показывают,Show
автор,author
обязана,Obligated
плачет,Crying
понимал,I understood
судьбы,fate
музыки,music
дженна,Jenna
рассказывай,Tell
объект,an object
взамен,In return
бросили,Threw it
сторона,side
крышу,roof
камни,Stones
помогло,Helped
чжин,Jin
автобусе,bus
шли,Walked
красивое,Beautiful
спине,back
смеется,Laughs
убийцей,a killer
беспокойство,anxiety
номере,issue
болтать,chat
обычная,ordinary
хвост,tail
свидетеля,witness
уволить,fire
белье,Lingerie
убежище,Shelter
луна,moon
браун,Brown
тина,Tina
температура,temperature
считаем,We count
возвращения,Return
поездки,trips
правдой,Truth
похитили,They stole
агенты,Agents
миледи,Milady
лемон,Lemon
осторожны,Caution
энергию,energy
берет,beret
молодая,Young
организации,organizations
поддержать,support
возражаешь,You object
аду,hell
стола,table
визит,visit
участке,site
включить,turn on
опасен,Dangerous
приближается,Approaches
нью,New
четырех,four
обстоятельства,circumstances
входи,Come in
чувств,feelings
порой,Sometimes
канал,channel
предположить,assume
признаю,I admit
поторопись,hurry
неудобно,Unknown
личный,private
ам,am
вопросом,question
продолжается,continues
троих,Three
сдать,pass
ждите,Wait
старался,I tried
борьбе,struggle
уилсон,Wilson
чтож,well
советую,I advise
красивой,beautiful
возвращайтесь,Return
крик,Scream
проходи,Come
y,y
удача,luck
искренне,sincerely
гэри,Gary
лидер,leader
влюблена,In love
испугался,Frightened
километров,kilometers
впечатляет,Impressive
жутко,Terrible
деревне,village
самостоятельно,on one's own
набор,kit
арест,arrest
идиоты,Idiots
николь,Nicole
опухоль,tumor
леонард,Leonard
злой,evil
картина,painting
подумаю,I'll think about it
радости,Joy
грей,Gray
объяснение,explanation
бесполезно,useless
эдриан,Edrian
звуки,Sounds
подходящее,appropriate
подпись,signature
собственные,own
говард,Howard
мешает,interferes
сообщил,reported
лана,Lana
течении,the course
лошадей,horses
поиск,Search
ищете,Looking for
вызову,I will call
оборудование,equipment
заказать,to order
заказал,ordered
поверишь,believe
предложения,suggestions
сосредоточиться,concentrate
джонсон,Johnson
жестоко,Cruel
дэйв,Dave
ногах,legs
парочку,A couple
слушал,listened
притворяться,pretend
глупость,Stupidity
беда,trouble
глубже,deeper
границу,border
чёрту,Damn
победу,Victory
лори,Lori
какими,what
влюбился,fell in love
книг,books
попался,I got caught
слышит,Hears
умнее,smarter
нормальный,normal
справится,Cope
зашла,I went in
присаживайтесь,Sit down
приказы,Orders
милые,Lovely
обувь,shoes
гм,um
стекло,glass
главного,the main thing
дед,grandfather
темноте,darkness
ужина,dinner
ночной,night
останемся,Stay
карла,Karl
чаю,tea
кузен,cousin
приходила,Came
прямой,straight
нести,carry
миллер,Miller
реакция,reaction
джорджа,George
большей,more
разговаривала,Talking
собственность,own
стул,chair
линия,line
проводит,Conditions
платит,Pays
горячая,Hot
охрану,guard
эх,eh
натворил,I did it
университете,university
мередит,Meredith
парочка,A couple
пиццу,pizza
вошел,has entered
пятьдесят,fifty
испортить,spoil
попросили,asked
запрещено,forbidden
малыша,baby
морской,nautical
джоуи,Joey
трудом,labor
пусти,Let go
характер,character
выполнять,fulfill
арестованы,Arrested
скучал,I missed it
позор,shame
берите,Take it
вида,species
ванну,Bath
привык,got used to it
поздравления,congratulations
джастин,Justin
важна,Important
желаете,Want
теории,theories
джен,Jen
беспокоить,bother
отце,father
плану,plan
обид,resentment
шее,neck
потише,quieter
are,are
пустой,empty
стефан,Stephen
партии,Parties
моменты,moments
дневник,a diary
принесите,Bring
дадут,Give
никки,Nikki
штатов,states
вечность,eternity
погода,weather
би,bi
понимают,understand
звоните,Call
понимаем,We understand
сходи,Go away
неизвестно,Unknown
начнут,Start
занимаемся,We are engaged
тень,shadow
линдси,Lindsay
остаток,remainder
выразить,express
отделение,Department
кресло,armchair
братан,Bratan
берегись,Beware
целых,whole
эл,El
чо,Cho
исследование,study
используя,Using
херня,Cryny
дрю,Drew
сидела,Sitting
офицера,officer
гас,Gus
тепло,warm
замке,Castle
птица,bird
использую,I use
играла,Played
бегать,run
спокойствие,Calm
неприятно,Unpleasant
потери,losses
установили,Installed
вернул,Returned
интернет,the Internet
домик,house
хей,Hay
четверо,four
считай,Consider
костюме,suit
ведёт,leads
сли,leen
денни,Denny
выиграли,won
чёрный,the black
двигатель,engine
крыше,roof
райли,Riley
эдвард,Edward
ошибкой,error
заплатили,paid
нина,Nina
помимо,In addition
исчезнуть,disappear
босса,Boss
прекрасные,Beautiful
выходной,day off
долю,share
опаздываю,I'm late
почувствовала,I felt
страсть,passion
градусов,degrees
враги,Enemies
отряд,detachment
послали,Sent
покой,peace
ставлю,I put it
ожидать,expect
пульс,pulse
называли,called
грубо,rough
недолго,not for long
пускай,Let
заставило,forced
выхожу,I go out
рим,Rome
показывать,show
дем,Dem
ричи,Richie
врага,enemy
приказал,ordered
нм,Nm
театр,theatre
рид,Reed
наоми,Naomi
ка,ka
гнев,anger
кенни,Kenny
клетки,Cells
приятный,pleasant
полезно,healthy
сна,sleep
творишь,Creating
единственной,The only one
кончится,It ends
здоров,Healthy
нанять,hire
вывести,Bring out
списка,list
успокоиться,Calm down
веру,faith
дочка,daughter
плачь,Cry
оуэн,Owen
сел,Sitting
дама,lady
позволишь,You will allow
ставить,put
конечном,final
днях,Days
клаус,Klaus
разговоров,conversations
используй,Use
пальцем,finger
такому,To this
всяких,Anyone
встань,Get up
починить,fix
терпение,patience
найдется,There is
натали,Natalie
эмоции,emotions
симпатичный,cute
футов,feet
прочитал,read
пропали,Gone
ноль,zero
пространство,space
объяснять,explain
сильным,strong
позвать,call
надежду,Hope
марш,march
важные,Important
благодарна,Grateful
жен,wives
умно,smart
get,Get
событие,event
таков,Such
выполнить,Perform
обязанности,responsibilities
уважаю,I respect
программе,program
сменить,change
брук,Brooke
эксперт,expert
кнопку,button
возвращением,return
бал,ball
крепко,Strong
шампанское,champagne
км,km
ненавидеть,hate
разрешите,Allow
игрок,player
рассчитывать,calculate
спасать,save
роз,roses
кричит,Screaming
кей,Kay
клиенты,Clients
воняет,stinks
прими,Accept
моря,seas
устроим,Let's arrange
капли,drops
начнет,Start
поворот,turn
лагере,camp
втором,second
диск,disk
убита,Killed
верится,believe
законы,the laws
природы,Nature
полон,full
мн,Mn
диване,sofa
допустить,allow
эффект,Effect
предал,betrayed
чемодан,suitcase
нетерпением,impatience
языке,language
энтони,Anthony
тишина,silence
врачу,doctor
планету,planet
следил,Watched
вьi,VI
йо,Yo
поймет,will understand
обстоятельствах,circumstances
юг,south
трусы,underpants
изнутри,From the inside
бывшей,Former
выясним,Find out
пропустила,missed
отделе,department
тщательно,thoroughly
хранилище,storage
магия,magic
рынок,market
английский,English
согласились,agreed
удивлена,Surprised
небе,sky
холли,Holly
расходы,expenses
следующим,next
рэнди,Randy
увидят,They will see
средств,funds
детектива,Detective
пирс,pier
утверждает,claims
молодых,young
стреляйте,Shoot
невиновен,Invited
взрослые,Adults
извиняться,apologize
коем,what
луиза,Louise
вела,led
питера,Peter
золотой,gold
клара,Clara
даг,Dag
студии,Studios
смириться,come to terms
личного,personal
личной,personal
водить,drive
покинул,He left
боги,gods
болван,Bolvan
позицию,position
посадить,Plant
марко,Marco
делается,Made
опыта,experience
пробовал,I tried it
поживаешь,Are you
плохих,Bad
out,out
минутка,Minute
настоящую,Real
приговор,sentence
дышит,Breathing
янг,Young
джонатан,Jonathan
жених,groom
борьбы,struggle
груз,cargo
называешь,You call it
формы,Forms
лекс,Lex
поставь,Put
сигареты,cigarettes
наполовину,half
ин,In
меню,menu
нахожу,I find it
лиам,Liam
выглядела,She looked
ходишь,Walking
паспорт,the passport
читаю,I read
вызвали,called
г,G
кольца,rings
ухо,an ear
up,Up
просим,Please
мэй,May
диана,Diana
передал,I gave it
переехал,He moved
записать,Record
средство,means
месть,revenge
солнышко,sun
эли,Eli
досье,Dossier
пределами,limits
отказалась,Refused
способность,ability
всякие,All sorts
александр,Alexander
меган,Megan
достану,I will get it
прятаться,hide
удовольствия,pleasure
мэтью,Matthew
медсестра,nurse
голубой,blue
бассейн,swimming pool
чести,honor
поднимайся,Get up
длинный,long
присядь,Sit down
бабушки,Grandmothers
джеффри,Jeffrey
пойдут,They will go
условиях,conditions
чжу,Zhu
ищите,Look
молод,young
сегодняшний,Today
проснулась,woke up
крики,Screams
трюк,trick
мэтти,Matty
виктория,Victoria
горячий,hot
мудак,asshole
членом,member
шкафу,cabinet
страдать,suffer
тв,TV
хаус,House
иск,lawsuit
старую,Old
заставит,will make
приготовила,Cook
знай,Know
помогаю,I help
задумал,conceived
знакомо,Familiar
особенное,Special
бросьте,Throw it
центра,center
справился,He coped
бегите,Run
духа,spirit
поговорили,We talked
гордиться,be proud
тайна,secret
обеих,both
рынке,market
дафни,Daphny
алисия,Alicia
филипп,Philip
командой,team
старым,Old
небеса,heaven
ударить,hit
пострадал,Suffered
всяком,Everyone
руль,steering wheel
сомнений,doubts
пушку,gun
открыто,open
коул,Cole
поезда,Trains
идей,ideas
подозреваемого,suspect
ќни,ќny
заслуживаешь,You deserve it
юн,Yun
получаешь,You get it
восхитительно,delightful
американцы,Americans
сердцу,heart
спрашивала,I asked
темно,dark
мертвых,dead
принца,Prince
строить,build
американский,American
салат,salad
грязные,dirty