Turkish,English
bir,a
bu,This 
ne,What
ve,and
için,for  
mi,mi
de,also
o,he is
ben,I
çok,lots
ama,but
evet,Yeah
var,there is
da,in
mı,is it
değil,not
şey,thing
hayır,no  
daha,more    
sen,joyful
kadar,until
bana,to me
gibi,like
bunu,this
yok,none 
onu,him-her-it
iyi,good
tamam,ok
beni,me  
seni,you
benim,Mine
her,each
sana,to you   
ki,that
neden,why
ya,or
sadece,only
zaman,time
senin,your
burada,here
olduğunu,that
nasıl,How
hiç,none
sonra,Then
şimdi,now
en,most
öyle,so 
mu,is it
şu,this
misin,will you
önce,before
biraz,a little
hadi,come on
güzel,beautiful
musun,are you
oldu,happened
yani,well
ona,him
böyle,like this
İyi,Good   
onun,her
bile,even    
lütfen,please   
bak,look
eğer,if
peki,alright
çünkü,because
artık,now    
gerçekten,really
geri,back
biliyorum,I know
istiyorum,I want
kim,who
başka,other
olarak,aspect
belki,maybe
tek,only
doğru,TRUE
büyük,big
olan,the one which...
biri,somebody
bay,Mr
buraya,here
olur,It is possible
in,of
adam,man
ile,with
olacak,it will be
hey,Hey
hiçbir,no
biz,we
demek,means
sanırım,I guess
yardım,help
ın,of
bilmiyorum,I do not know
bunun,this
teşekkürler,thanks
tüm,all
gün,day
yeni,new
fazla,more
ederim,thank you
nerede,where
tanrım,God
merhaba,Hello there
efendim,sir
a,A
şeyi,thing
orada,there
gece,night
son,end
kötü,bad
şeyler,things
biliyor,he knows
harika,wonderful
iki,two
sorun,problem
et,meat
İşte,Request
bütün,all
tam,full
gerek,necessary
siz,you 
diye,saying
hemen,now
ol,die
üzgünüm,I am sad
küçük,small
olabilir,it could be
olsun,never mind
i,I
size,to you
bayan,Lady
aynı,same
hakkında,about
teşekkür,Thanks
gel,come
tabii,of course
yüzden,so
onları,Them 
kız,girl
kendi,own
devam,continue
nin,n
bize,to us
e,to
ver,give
oluyor,is happening
izin,permission
iş,business
bizi,we
buna,this
selam,hi
anne,mom
vardı,there
bizim,ours
geldi,came
sizi,you
baba,father
dur,Stop
aslında,actually
seninle,with you
asla,never
göre,according to
kimse,nobody
özür,apology
değilim,I am not
oh,oh
önemli,important
git,go
hala,still
işte,Request
tekrar,again
yoksa,or?
içinde,inside
nın,nin
benimle,with me
mısın,will you
mü,is it
yine,still
bence,in my opinion
haydi,lets
şekilde,in the way
olmak,be
bugün,today
söyle,say
pekala,ok
birlikte,together
para,money
olmaz,it is not possible
uzun,long
onunla,with him
bakalım,let's see
zaten,already
biliyorsun,you know
ilk,first
al,get
geliyor,coming
lazım,required
dostum,mate
üç,three
dakika,minute
onlar,them
gerçek,real
emin,sure
birkaç,a few 
herkes,everyone
saat,hour
söyledi,told
istiyorsun,you want
ister,whether...or
pek,much
yapıyorsun,you do
eve,home
miyim,am I
ı,I
yıl,year
çocuk,child
hep,always
şunu,that
neler,what
yer,Location
dilerim,I wish
sizin,yours
bekle,wait
bırak,leave
olduğu,is
ilgili,relating to
gidelim,lets go
nedir,why
yere,to the ground
etmek,to make
dan,from
olmalı,must be
kaç,how much?
istemiyorum,I don't want
nereye,to where?
lanet,curse
hepsi,all
un,Fame
buradan,from here
an,moment
burası,here
az,little
karşı,against
çocuklar,Children
eski,old
hazır,ready
kendini,self
gerekiyor,needed
ediyorum,I'm
fakat,but
kesinlikle,definitely
benden,from me
kadın,woman
söz,promise
yapmak,make
tane,unit
zor,difficult
işe,if
anda,at the moment
diğer,other
dinle,listen
işi,heat
bunlar,these
görmek,to see
kişi,person
niye,why
kabul,acceptance
seviyorum,I like
istiyor,wants
aman,Oh
misiniz,Are you
yarın,tomorrow
zorunda,must
tanrı,God
bundan,from this
kez,times
İki,Two
sağ,right
elbette,of course
gidip,go and go
falan,like
tatlım,sweetie
yanlış,false
hoş,pleasant
hem,both
senden,from you
onlara,to them
doktor,doctor
hafta,week
özel,special
yemek,food
yapma,don't do that
kontrol,control
oraya,to there
gereken,required
yerde,on the ground
ediyor,in
geç,late
mutlu,happy
bazı,Some
dedim,I said
birini,one
hâlâ,still
ye,eat
ondan,from him
eminim,I am sure
ayrıca,Moreover
dışarı,outside
bakın,Look
nereden,Where from
gitti,gone
beri,since
edin,get
etti,he
yalnız,alone
ah,Ah
erkek,male
yalan,lie
merak,curiosity
gördüm,I saw
insan,human
değildi,it wasn't
polis,police
görüşürüz,see you later
dün,yesterday
ihtiyacım,I need
insanlar,people
musunuz,Are you
babam,my father
haber,news
gidiyor,going
la,La
olmuş,dead
yi,yi
akşam,evening
pekâlâ,ok
ha,Ha
geçen,last
sakin,do not
sanki,as if
den,from
nefret,hate
sabah,morning
dikkat,Caution
beş,five
karar,decision
umarım,hopefully
yaptım,I did
veya,or 
çabuk,quick
etme,relief
yerine,in its place
ay,moon
farklı,different
sonunda,finally
üzerinde,on
olması,to be
gördün,you saw
sence,what do you think
değilsin,You are not
aptal,silly
kendimi,myself
ettim,I
tamamen,completely
oldukça,increasingly
kendine,yourself
fark,difference
yeter,enough
boyunca,along
vardır,has
bunları,these
olduğumu,that I am
su,this
tarafından,by
yı,yi
kes,cut
birşey,something
annem,My mother
öldü,died
u,U
neyse,anyway
istediğim,what I want
olursa,if it
açık,open 
dünya,world
adı,First Name
yap,do it
İlk,First
hangi,which
söyledim,I told
yaptın,you did
dört,four
aldım,I bought
dolar,dollar
olamaz,I can't be
görünüyor,it looks
birisi,someone
yüzünden,because
olsa,though
kolay,easy
yoktu,did not have
bende,me too 
adamı,man
be,ben
beraber,together
konuşmak,talk
bazen,sometimes
buldum,I found
dedi,said
ise,if
ancak,however
yanında,beside
sahip,owner
olmadığını,not
yol,path
gelecek,future
yapıyor,doing
başına,per
gitmek,to go
bitti,finished
geldim,I came
tabi,subject to
evde,at home
henüz,yet
onların,they
anlıyorum,I understand 
cevap,reply
yolu,way
zamanı,the time
genç,youth
öyleyse,then
almak,to take  
yardımcı,helper
kahretsin,damn it
oldum,became
konusunda,about
kal,remain
günü,day
adamın,your man
takip,follow-up
ateş,fire
durum,situation
nun,nun
söylemek,say
azından,at least
adım,my name
eder,eligible
düşündüm,I think
le,le
istedim,I wanted
neredeyse,almost
muhtemelen,probably
düşünüyorsun,you are thinking
mükemmel,perfect
yaptı,made
ciddi,serious
sanmıyorum,I don't think so
olun,be
içeri,inside
ev,house
herhangi,any
yeniden,again  
boş,null
altında,under
vay,Wow
kan,blood
ara,Search
göz,eyelash
halde,in case of
düşünüyorum,I'm thinking
hızlı,fast
süre,duration
miyiz,Are we
oğlum,my son
aç,hungry
uzak,far
duydum,I heard
konuda,on the subject
sakın,do not
işin,ray
şeyin,your thing
gelen,incoming
çıktı,output
saniye,second
garip,strange
john,John
araba,car 
jack,jack
gidiyorum,I'm going
yakın,near
arada,in between
olduğuna,that
on,front
hayatta,in life
alo,Hello
anladım,I understand
çalışıyorum,I am working
hayal,dream
söylüyor,says
hayatım,sweetheart
galiba,I guess
kaldı,remained
rahat,comfortable
canım,My dear
sürü,herd
kimin,who's?
bilirsin,you know
olacağım,I will be
dersin,you say
hepimiz,we all
adamım,my man
çeviri,translation
bebeğim,my baby
ortaya,reveal
verdi,given
başladı,started
hayat,life
ta,ta
gelip,come and come
şeye,to what
çalışıyor,WORKING
sende,You too
yaptığını,what you do
güçlü,strong
olay,event
hatta,even
durumda,in the case
arkadaşım,my friend
bebek,baby
çocuğu,child
savaş,war
şeyleri,things
kesin,definite
geldin,You came
komik,comic
böylece,so
arasında,between
hava,weather
altı,six
haklısın,you're right
hareket,movement
bin,thousand
soru,question
acaba,I wonder
güle,bye
üzerine,over
sürekli,continually
gelir,income
şuna,to this
ihtiyacı,need
şaka,joke
telefon,phone
kardeşim,my brother
olacağını,that
varsa,if any
yapacağım,I will do
silah,weapon
oyun,the game
olmadan,without
kısa,short
el,hand
birinin,someone
terk,abandonment
kızı,daughter
ait,belonging
acele,rush
etmeye,to do
gizli,hidden
zamanda,at the time
dans,dance
daki,in
diyorsun,you say
yeterince,enough
baban,your father
verdim,I gave
evlat,son
zarar,damage
uygun,suitable
dışında,outside
günaydın,Good morning
geçti,passed
olmayacak,will not be
yolunda,on the way
memnun,pleased
kapıyı,the door
hepsini,all
fikir,idea
aynen,exactly
hissediyorum,I am feeling
tür,kind
olurdu,would be
verin,give
beyler,gentlemen
tuhaf,strange
değildir,not
gidiyoruz,We are going
yüksek,high
rahatsız,uncomfortable
olmadı,It didn't happen
new,New
gidiyorsun,You are going
geceler,nights
siktir,Fuck
kere,times
yaşlı,old
sam,Sam
iyiyim,I'm fine
korkunç,terrible
sanıyordum,I thought
aldı,took
gerektiğini,what
çıkar,interest
gelin,bride
herif,guy
içine,into
nasılsın,how are you
veriyorum,I give
eden,driving
dolu,full
neyi,what
parayı,the money
bilmek,to know
sevindim,I am pleased
edecek,to be
beyaz,white
durun,stop
sanıyorsun,you think
mümkün,possible
varmış,there
belli,clear
tahmin,prediction
sensin,you are
ölüm,death
şöyle,like this
biliyordum,I knew
mısınız,Are you
yapamam,I can't do it
ediyorsun,you are
vermek,to give
çeneni,your jaw
acı,Angle
yakında,soon
neydi,what was it
hasta,patient
yalnızca,Only
geliyorum,I'm coming
annen,your mother
berbat,wretched
yapmaya,to do
istedi,wanted
üzere,as well as
İçeri,Inside
neyin,what
yapacağız,we will do
sizinle,With you
güvenlik,security
bizimle,with us
yapacak,will make
dikkatli,carefully
anladın,you understand
dedin,you said
ölü,dead
yapıyorum,i do
ihtiyacın,Your need
milyon,million
deli,mad
dair,about
aile,family
normal,normal
tatlı,sweet
olmayan,non-
bırakın,quit
birine,to someone
diyorum,I say
söyledin,You said
dışarıda,outside
istediğini,what you want
insanların,peoples
otur,sit down
ihtiyacımız,we need
affedersiniz,you forgive
michael,Michael
yemin,oath
charlie,charlie
sefer,expedition
pardon,pardon
şans,chance
keşke,If only
ana,mother
aşk,love
te,tele
olup,in
evine,home to home
ettin,you did
baş,head
başkan,minister
kapa,closure
dünyanın,world
çık,exit
aşağı,down
arkadaş,friend
biliyoruz,we know
at,horse
yeri,place
bununla,With this
millet,people
seks,sex
bilmem,I don't know
the,The
yapar,does it
doğum,birth
kahve,coffee
yaşında,old
istersen,if you want
miydi,was it
İnsanlar,People
kızlar,girls
durumu,status
isterim,I want
herkesin,everybody's
oradan,from there
kaptan,captain
kendisi,itself
yavaş,slow
bi,one
kusura,sorry
hoşça,nicely
hata,error
alıp,take a lot of
önünde,in front of
yeterli,sufficient
mıydı,was it
hayatını,life
cinayet,murder
bakma,do not look
sıcak,hot
bunların,these
aldın,you got it
frank,franc
erken,early
york,york
sessiz,silent
üstüne,over
kızım,my daughter
asıl,royal
dön,frost
zamandır,for time
getir,bring
ufak,small
düşünüyor,thinking
köpek,dog
inanamıyorum,I cant believe
yukarı,above
amerika,America
çek,Check
cidden,really
benziyor,looks like
gelmiş,arrived
dek,until
bilmiyor,he does not know
tehlikeli,dangerous
olmasını,to be
bilgi,information
şarkı,song
basit,simple
duydun,you heard
buradayım,I am her
diyor,says
güç,strength
yüz,face
n,N
evi,the House
gayet,very
yıldır,years
kızın,your daughter
birçok,A lot
nefes,breath
hak,right
konu,topic
söylüyorum,I'm telling you
görünüyorsun,you look
olduğum,I am
tıpkı,just as
edeceğim,I will make
olsaydı,if it was
noel,Christmas
gitmem,I dont go
film,film
olduğun,you
dalga,wave
görüyorum,I see
bulmak,to find
anlaşıldı,understood
ele,hand
ses,sound
neye,whereat
vakit,time
almaya,to buy
george,George
bayım,sir
muhteşem,wonderful
mesaj,message
koca,husband
haklı,right
sonraki,next
işler,works
yapacaksın,you will do
adını,name
kimsenin,nobody
yerinde,in place
gidin,go
burda,here
olacaksın,you will be
istediğin,you want
bilmiyordum,I didn't know
olmalısın,you must be
buldun,you found
yapmam,I don't do
anlamıyorum,I don't understand you
tom,tom
ikinci,second
parti,party
yu,yu
acil,urgent
söylemiştim,I said
fena,bad
allah,God
ajan,agent
insanları,people
hatırlıyor,Remember
joe,joe
yaparım,I do
herhalde,I suppose
mike,mike
bilir,knows
tut,Keep
alabilir,you can get
birden,suddenly
yedi,seven
peter,Peter
yoktur,there is no
yanına,next
zavallı,poor
sebebi,reason
düşün,think
eğlenceli,fun
özellikle,especially
görünüşe,apparently
söylüyorsun,you say
adına,in the name of
yemeği,food
yaptığı,what he did
zamanlar,times
sebep,reason
dedektif,detective
babası,his father
arkadaşın,your friend
biriyle,with someone
içki,drink
üstünde,above
rağmen,despite
temiz,clean
olmaya,to be
yapalım,let's do
david,David
söyleme,telling
buradaki,here
baksana,look
uyuşturucu,drugs
sesini,your voice
istiyorsan,if you want
patron,boss
lan,lan
parçası,Part of it
defa,times
katil,join
konuşma,speech
bekliyor,waiting
alın,forehead
sevgili,dear
olduğundan,because
görüyor,sees
gerçeği,reality
şeyden,out of what
numara,number
İşe,If
bilemiyorum,I do not know
öldürmek,kill
suç,crime
s,s
herşey,everything
arkadaşı,his friend
yerini,location
kimseye,to anyone
işim,name
tercih,choice
alacağım,I will take
gerekir,must
dolayı,because
oda,room
dürüst,honest
çoğu,most
kayıp,loss
gerekiyordu,needed
olma,being
unutma,don't forget
kırmızı,red
geldik,we came
canlı,Alive
değiliz,we are not
sonu,end
sağol,Thanks
teklif,offer
verir,giving
eskiden,formerly
babamın,my fathers
sayın,Dear
kimsin,who are you
yapan,doing
geldiniz,welcome
işini,Your job
saçma,absurd
soğuk,cold
bulduk,we found
yaptığın,you do
güvenli,trustworthy
bahsediyorsun,you are talking
yapabilirim,I can
sonsuza,to infinity
çoktan,already
seviyor,love
alan,area
onlardan,from them
teslim,delivery
olmasın,not
bağlı,connected
yürü,walk
bizden,U.S
yaşıyor,Living
kalk,get up
müzik,music
ölmüş,dead
yapmış,made
davet,Invitation
aşık,in love
süper,super
onlarla,with them
çocukları,children
sıra,desk
tanıyor,knows
elinde,in your hand
sahibi,owner
sene,year
çalışıyorsun,you work
istemiyor,does not want
sert,hard
bakayım,let me see
burayı,here
kavga,fight
anlat,to explain
olası,possible
park,Park
umurumda,I care
alır,gets
hanımefendi,lady
adamlar,men
anlamı,meaning
istiyoruz,we want
kalan,remainder
görmeye,to see
iyisi,the best
şehir,city
çekil,get out
zorundayım,I have to
fikrim,my idea
dava,case
günler,days
okul,school
kendime,to myself
görmedim,I did not see
takım,set
gitsin,let go
tamamdır,ok
İyiyim,I'm fine
geldiğini,that
söyleyeyim,let me tell you
güneş,sun 
çocuğun,your child
gelmek,to come
kalmak,to stay
İş,work  
bekleyin,wait
herşeyi,everything
kendim,myself
anlamına,meaning
mesela,for example
yaptığım,what I do
iç,internal
paul,Paul
edebilir,can
altına,under
istemedim,I didn't want
olayı,incident
yarım,my love
yola,on the road
adama,to man
herkese,to everyone
canına,to your life
affedersin,you forgive
orası,there
hatırlıyorum,I remember
pislik,dirt
henry,Henry
düşünüyordum,I was thinking
şimdiye,so far
aşkına,for your love
sık,chic
kapı,door
ağır,heavy
vereceğim,I will give
kral,king
sıkı,tight
anlıyor,understands
gurur,pride
öğrenmek,learn
etmiş,he
getirdim,I brought
max,max
hale,state
arka,back
kalp,heart
demektir,means
önceki,former
verici,transmitter
duruyor,stops
telefonu,phone
düşünmüştüm,I thought
siyah,black
olabilirim,I could be
şef,chef
kadının,woman
ikna,persuasion
anlaşma,agreement
yapmayı,to do
kalın,thick
oldun,you became
kadınlar,women
resmi,official
gider,expense
yazık,what a pity
silahı,weapon
annesi,his mother
deki,in
hoşuma,I like it
ifade,expression
sırada,in line
aferin,well done
arabayı,the car
başıma,to me
gittim,i went
suçlu,guilty
bölüm,episode
veriyor,giving
bayanlar,ladies
edeyim,let me
göster,show
kaldım,I stayed
hepiniz,all of you
birileri,someone
kelime,word
bira,beer
kitap,book
istiyorsunuz,you want
orospu,bitch
günün,your day
kara,black
ilginç,interesting
yla,with
gidecek,will go
üst,top
serbest,free
niçin,why
satın,purchase
zengin,rich
olman,your being
söyleyeceğim,I will say
tarafa,to side
sürece,as long as
iyilik,goodness
vakti,time
dünyada,in the world
almış,bought
söylemiştin,you said
sekiz,eight
sona,end
aptalca,stupid
hayatı,vital
üçüncü,third
dinleyin,listen
ettiğini,that you
istemem,I do not want
olanlar,what happened
tehdit,threatening
nedeni,Reason
deniz,sea
ahbap,buddy
verdin,you gave
yaklaşık,approximately
mıyım,am I
konuş,Talk
okula,to school
olmayı,to be
danny,Danny
yıllar,years
isim,name
yapıyoruz,we do
gideceğim,I will go
kendin,yourself
yaşam,life
zamanlarda,in times
sesi,sound
çeşit,sort
dua,prayer
çalışan,worker
değer,value
general,general
duymak,to listen
öldürdü,killed
işleri,work
sigara,cigarette
taraftan,on the side
na,na
yapıyorsunuz,you do
altın,gold
ee,ee
hediye,present
jimmy,Jimmy
olacağız,we will be
yo,yo
yapmadım,I did not do
bey,gentleman
yapabilir,can do
kimseyi,nobody
edelim,let's
çift,couple
alex,Alex
severim,I like
çıkıp,out of
mantıklı,logical
erkekler,men
james,james
yaşamak,to live
polisi,policeman
alıyorum,I'm buying
alıyor,taking
gitmiş,gone
yolunu,way
güven,trust
ayak,foot
sarah,Sarah
salak,idiot
sizden,from you
ortak,partner
görev,duty
herkesi,everyone
parça,piece
isteyen,wanting
aşırı,extreme
önceden,previously
teki,in
elde,in hand
karanlık,dark
mary,Mary
hayatımı,my life
muydu,was it
mavi,blue
duyuyor,hears
birazdan,soon
biliyorsunuz,you know
seksi,sexy
duyuyorum,I hear
bul,find
edip,educated
geldiğinde,when you arrive
hani,you know
elini,your hand
balık,the fish
söyler,Saying
İsa,Jesus
evin,your house
kişisel,personal
kadını,woman
endişelenme,Do not worry
kalmadı,no more
kalacak,will stay
kulak,ear
tebrikler,congratulations
ray,rail
arıyor,calling
kimi,who
zeki,clever
derece,degree
saygı,respect
gerekecek,will be required
ellerini,your hands
saçmalık,nonsense
tanıyorum,I know
zorundasın,you have to
sahte,fake
isterdim,I would like to
harry,Harry
tony,tony
karım,my wife
amerikan,American
güvende,safe
dışı,female
gitme,do not go
rica,request
ortadan,in the middle
yüzbaşı,captain
ön,front
döndü,turned
gördüğüm,what I see
nick,Nick
söyleyin,Tell
tan,tan
farkında,aware
kapat,close
çalıştım,I worked
İkinci,Second
verme,giving
yaz,summer
bok,shit
elimden,from my hand
ten,skin
olurum,I will be
bayağı,pretty
yanımda,by my side
ikiniz,two of you
kutsal,sacred
annemin,my mom's
iyidir,is good
fbi,FBI
gerekli,necessary
jim,Jim
alacak,receivable
etmez,not
insanlara,to people
hayatın,Your life
inanılmaz,incredible
hoşuna,you like it
çıkmak,exit
defol,get out
gibiydi,it was like
şanslı,lucky
destek,support
istediği,wanted
geriye,back
gücü,power
grup,group
adamla,with the man
türlü,various kinds of
gir,enter
alt,lower
verecek,will give
koy,bay
yolda,on the road
paris,Paris
ilgisi,interest
adın,your name
sarhoş,drunk
ders,lesson
anlamadım,I did not understand
öylece,so
buralarda,here
olmadığı,not
hikaye,story
kalmış,remained
bob,bob
kahrolası,goddamn
bildiğim,I know
yaptık,we did
birinci,first
ediyoruz,we do
gelmedi,did not come
haline,into
yıldız,star
yiyecek,food
baştan,from the beginning
birşeyler,something
gerekirse,if necessary
gelmiyor,does not come
arıyorum,I am searching
korumak,to protect
jane,jane
aradı,called
babanın,Your father
götür,take
gördünüz,you saw
oyunu,game
olduğumuzu,that we are
söylemişti,he said
kalsın,stay
sıradan,ordinary
unut,forget
olduğunda,when
arama,call
derin,deep
giden,outgoing
muydun,Have you
kaza,accident
buydu,that was
ailesi,family
bill,Bill
önemi,the importance of
kafa,head
d,D
olmam,not to be
parmak,finger
sorunu,problem
etmeyi,to do
epey,quite
gösteriyor,is showing
araya,in
yerden,out of the ground
albay,colonel
mesele,issue
peder,father
geleni,what's the next
şuraya,there
başladım,I started
evinde,at home
hayvan,animal
edersin,you
gitmeliyim,I have to go
dahil,including
m,m
bilmiyorsun,You do not know
şimdilik,for now
yaramaz,naughty
korkarım,I'm afraid
istediğimi,what I want
yapman,you do
test,test
nesi,what's up
ikimiz,the two of us
İnsan,Human
yoluna,on the way
çay,tea
miydin,Are you
olanları,what happened
buradasın,you are here
doğal,natural
kapalı,closed
plan,plan
geçmiş,past
olabilirsin,you can be
buyurun,here
aklıma,to my mind
sürpriz,surprise
çıkıyor,turns out
genelde,in general
sahi,actually
yardıma,to help
tarafta,on the side
istersin,you want
yoldan,on the way
akşamlar,evenings
baylar,gentlemen
sanmıştım,I thought
neredesin,where are you
richard,richard
sevdim,I loved
konuyu,subject
arkasında,behind
sevgilim,my darling
değerli,valuable
hamile,pregnant
üzgün,sad
ciddiyim,I am serious
